Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
PropertyGuru Group,https://www.crunchbase.com/organization/propertyguru,"Online Portals, Property Development, Property Management, Real Estate, Rental, Rental Property, Residential","Singapore, Central Region, Singapore",PropertyGuru Group is a real estate company that provides property development services.,"2,583",Active,2006-01-01,year,2022-03-18,day,,,For Profit,http://www.propertygurugroup.com/,"PropertyGuru Group provides property development services. They offer digital property marketplaces to match buyers and tenants with sellers and landlords, digital marketing services for property agents and developers, SaaS-based sales process automation for property developers, a digital mortgage marketplace and brokerage, and property data consultancy services for banks, valuers, and property developers.",IPO,676443674,USD,676443674
JOYY,https://www.crunchbase.com/organization/yy-com,"Consulting, Information Technology, Internet, Music","Singapore, Central Region, Singapore","JOYY is a video-based social media platform offering online entertainment, live gaming broadcasting and real-time communications.","6,901",Active,2005-04-01,day,2012-11-21,day,,,For Profit,https://www.joyy.com/,"JOYY is a gaming portal and an interactive communication social platform that engages users in real-time online group activities through voice, text, and video. It features a virtual currency that the users can earn through activities such as karaoke and creating tutorial videos and then convert to cash. It enables its users to exchange virtual roses as a mode of currency. It offers its users with a wide range of online group activities such as online games, music concerts, live shows, conference calls, and eLearning activities. JOYY is a China-based company that was founded in 2005 by Xueling Li.",IPO,1000000000,USD,1000000000
Wego,https://www.crunchbase.com/organization/wego-com,"Consumer, E-Commerce, Hospitality, Search Engine, Travel, Travel Agency","Singapore, Central Region, Singapore","Wego is an online travel marketplace that enables travelers to find, compare, and book travel deals.","7,631",Active,2005-09-01,day,,,,,For Profit,https://www.wego.com,"Wego provides award winning travel search websites and top ranked mobile apps for travelers living in MENA and India regions. Wego harnesses powerful yet simple to use technology that automates the process of searching and comparing results across hundreds of airlines, hotels and online travel agencies. Wego presents an unbiased comparison of all travel products and prices offered by local and global merchants, and enables shoppers to quickly find the best deal and place to book. Wego is dual-headquartered in Singapore and Dubai and backed by investors including Tiger Global Management, Crescent Point Group, SquarePeg Capital, MBC Group and Middle East Venture Partners",Late Stage Venture,66000000,USD,66000000
Hillhouse Investment,https://www.crunchbase.com/organization/hillhouse-capital,"Business Development, Consumer, Financial Services, Health Care, Software, Venture Capital","Singapore, Central Region, Singapore",Hillhouse Investment is an investment management firm that invests with a long-term time horizon.,"15,331",Active,2005-01-01,year,,,,,For Profit,http://www.hillhouseinvestment.com,"Founded in 2005, Hillhouse is a leading global investment management firm, active across public equity, private equity, real estate and private credit. The firm invests over a long-term horizon and partners with exceptional entrepreneurs to deliver sustainable value creation for quality companies. Hillhouse is a full life-cycle private equity firm, investing for the long term across opportunities in the healthcare, business services, consumer, and industrials sectors. The firm manages capital on behalf of global institutions such as non-profit foundations, endowments, and pensions.",,,,
DT One,https://www.crunchbase.com/organization/dtone,"Mobile, Mobile Payments","Singapore, Central Region, Singapore",DT One operates a global network for mobile top-up solutions and innovative mobile rewards for emerging economies.,"24,206",Active,2005-01-01,year,,,,,For Profit,http://www.dtone.com,"DT One (previously TransferTo) operates a global network for mobile top-up solutions and innovative mobile rewards. We help over five billion people across emerging economies to have greater access to digital communications, stay better connected and as a result, participate more actively in the global economy. Our global network interconnects more than 550 mobile operators across 160 countries and delivers smarter data-driven mobile solutions to ensure that no one is left unconnected.    DT One was previously called TransferTo.",Private Equity,6500000,USD,6500000
Apical Group,https://www.crunchbase.com/organization/apical-group,"Food Processing, Manufacturing","Singapore, Central Region, Singapore","Apical Group is a fully integrated global palm oil producer, processor and exporter.","24,641",Active,2006-01-01,year,,,,,For Profit,https://www.apicalgroup.com/,"Apical manages the downstream business of palm oil production from sourcing, refining, manufacturing and trading of palm oil and its products. Apical engage in product development and sales of palm oil derivatives and consumer products.",,750000000,USD,750000000
CapitaLand Ascott Trust,https://www.crunchbase.com/organization/ascott-trust,"Property Development, Property Management, Real Estate","Singapore, Central Region, Singapore",CapitaLand Ascott Trust is a real estate investment trust.,"31,918",Active,2005-01-01,day,2007-11-30,day,,,For Profit,https://www.ascottresidencetrust.com/,"CapitaLand Ascott Trust is a joint-stock company that conducts business as a REIT. The Trust primarily invests in income-producing real estate and assets linked to real estate, including serviced apartments, hotels, rental homes, and other assets related to the hospitality industry. Their goal is to invest mainly in real estate that generates revenue and assets related to real estate that is used or primarily used as serviced residences, rental housing properties, student housing, and other hospitality assets in any location in the globe.",IPO,303100000,USD,303100000
Easybook,https://www.crunchbase.com/organization/easybook,"E-Commerce, Internet, Ticketing, Travel","Singapore, Central Region, Singapore","LARGEST Bus, Train, Car, Tour & Ferry Ticket Booking.","35,227",Active,2005-01-01,year,,,,,For Profit,http://www.easybook.com/,"Easybook is the largest Bus, Train, Car, Tour, Ferry ticket website in SE Asia. Established since the year 2005, easybook.com have been providing online bus booking services of luxurious coaches and express buses tickets from Singapore to and fro Malaysia, within peninsular Malaysia, East Malaysia, Thailand and Indonesia. Easybook.com is by far the LARGEST online bus booking website that provides more than 7500 bus departures per day to all over the destinations in Singapore, Malaysia in this one-stop portal. Daily departures for all the bus routes can be found in easybook.com with choices in terms of timings, types of coaches, prices, seat numbers which the customers can choose from. Easybook.com has partnered with more than 110 well-known coach companies around in Singapore and Malaysia till date, and this initiative will be continuous in placing Easybook.com as the largest coach tickets distributor in the market. To name some of the famous bus companies includes Transnasional, NICE, Plusliner, Konsortium, Sri Maju, Five Stars Malaysia, Transtar, Supernice Grassland, S&S International, Cepat & Cekap, Starmart and heaps more. Besides serving as an online bus booking platform, easybook.com also offers various other amenities such as attraction tickets, coach packages, hotel room booking and vehicle chartering services to customers within Malaysia and Singapore. Some of easybook.com's latest venture includes selling of KTM train tickets online (as KTM authorized agent) as well as providing car rental services online within the sates of Malaysia. In this way, easybook.com acts as a complete one-stop platform for customers to plan their trips online in a much hassle -free, time saving and convenient way. Henceforth over the years and with all the various services found in this portal, Easybook.com has undoubtedly built its reputation as one of the most convenient and trust-worthy online booking portal catering to each and every customer traveling needs.  Please visit their FAQs section for further information.  If you prefer the social way of getting in touch, you may then wall us at Facebook or Tweet us with your comments. Plan your trip with Easybook.com now!",Late Stage Venture,8000000,USD,8000000
Yoma Strategic Holdings,https://www.crunchbase.com/organization/yoma-strategic-holdings,"Agriculture, Automotive, Consumer, Real Estate, Tourism","Singapore, Central Region, Singapore","Yoma Strategic Holdings is involved in real estate, automotive, consumer, heavy equipment, and financial services,","38,904",Active,2006-01-01,year,2006-08-24,day,,,For Profit,http://www.yomastrategic.com,"Yoma Strategic Holdings Ltd. is a leading business corporation with real estate, consumer, automotive, agriculture & logistic and tourism businesses in Myanmar. Together with its partner, the SPA Group, the Group is taking a conglomerate approach to build a diversified portfolio of businesses in Myanmar.",IPO,215343695,USD,215343695
Samooha,https://www.crunchbase.com/organization/samooha,"Accounting, Enterprise Resource Planning (ERP), Information Technology, Procurement, Sales, Security, Software, Warehousing","Singapore, Central Region, Singapore",Samooha offers simple and scalable business management solutions that help businesses.,"47,679",Active,2006-01-01,year,,,,,For Profit,http://samooha.com,"Samooha builds, integrates, and maintains a fully fledged ERP software for companies in distribution and wholesale operations. We cover the following main modules: - Finance and Controlling (G/L, ARAP, Assets, Bank) - Sales to Cash (Sales in proper, sales in consignment, retail sales) - Procure to pay (Purchases) - Warehouse and Inventory Management - Samooha serves 35 clients in Asia ranging from US$5M to US$150M in sales that are fully leveraging Samooha in their operations with up to 120 concurrent users. - Business is profitable since 2020",Seed,750000,SGD,559279
