Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
bluesheets,https://www.crunchbase.com/organization/bluesheets,"FinTech, Machine Learning, Software","Singapore, Central Region, Singapore","Bluesheets connects systems and automates workflows for businesses, accountants, and developers with a financial data platform.",686,Active,2020-01-01,year,,,,,For Profit,https://bluesheets.ai,"Powered by AI and machine learning, Bluesheets delivers cutting-edge technology to businesses worried about time-consuming and costly data gathering and verification methods.  The company automates the reading and processing of all financial data, whether online or offline – the result: is fast and accurate processing that produces the full scope of finances the same day.",Early Stage Venture,12230000,USD,12230000
Oatside,https://www.crunchbase.com/organization/oatside,"Food and Beverage, Food Delivery, Nutrition","Singapore, Central Region, Singapore",Oatside is a food and beverage services company that mainly offers oat milk products.,"3,635",Active,2020-01-01,year,,,,,For Profit,https://oatside.com,"Oatside is a food and beverage services company that mainly offers oat milk products. Oatside is dedicated to providing high-quality oat milk from its cutting-edge facility, ensuring that the process from oat to milk is sustainably sourced for people's enjoyment.",Early Stage Venture,90500000,SGD,65501393
Decentro,https://www.crunchbase.com/organization/decentro,"Banking, Developer APIs, Financial Services, FinTech, Payments, Software","Singapore, Central Region, Singapore",Decentro is an API platform for banking integrations.,"6,569",Active,2020-01-01,year,,,,,For Profit,https://decentro.tech,"Decentro develops an API banking software platform designed to launch products in a hassle free way. The platform integrates with desired banking APIs permitting financial integrations with a few lines of code and claims to simplify the product development cycle, enabling clients to simplify the integration processes.",Early Stage Venture,4700000,USD,4700000
Next Gen Foods,https://www.crunchbase.com/organization/next-gen-foods,"Alternative Protein, Food and Beverage, Food Processing, Organic Food, Retail","Singapore, Central Region, Singapore",Next Gen Foods is a food-tech startup that offers plant-based meat products.,"6,847",Active,2020-01-01,year,,,,,For Profit,https://nextgenfoods.sg/,Next Gen Foods is a food-tech startup that offers plant-based meat products. Its plant-based products look and taste like meat and are developed using agricultural food ecosystems helping consumers to have foods that are rich in protein and nutrients. The company was founded in 2020 and is headquartered in Singapore.,,132200000,USD,132200000
SynFutures,https://www.crunchbase.com/organization/synfutures,"Cryptocurrency, Information Technology","Singapore, Central Region, Singapore",SynFutures is a next generation synthetic assets derivatives exchange focused on creating an open and trustless derivatives market .,"8,561",Active,2020-01-01,year,,,,,For Profit,https://www.synfutures.com,"SynFutures is a next generation synthetic assets derivatives exchange focused on creating an open and trustless derivatives market by enabling trading on anything with a price feed. By cultivating a free market and maximizing the variety of tradable assets, SynFutures is lowering the barrier to entry in the derivatives market, creating a more equitable digital assets exchange market.",Early Stage Venture,37400000,USD,37400000
Locad,https://www.crunchbase.com/organization/locad-14e7,"Cloud Data Services, E-Commerce, Logistics, Supply Chain Management, Warehousing","Singapore, Central Region, Singapore","All systems go with the logistics engine enabling e-commerce brands to store, pack, ship, & track orders in Asia-Pacific","11,422",Active,2020-01-01,year,,,,,For Profit,https://www.golocad.com,"Locad is the logistics engine enabling e-commerce brands with a cloud supply chain to grow their omnichannel business and automatically store, pack, ship, and track orders across Asia-Pacific. Locad’s tech platform syncs inventory across online channels and organizes end-to-end order fulfillment through their reliable network of warehouses and carriers across Singapore, the Philippines, Thailand, Hong Kong, and Australia, with more locations opening soon. Through this, brands and merchants get a geographically distributed warehousing infrastructure that allows them to stock goods closer to customers, enabling faster delivery at lower cost. Hundreds of brands now have access to the Locad logistics engine, allowing faster shipping, reduced costs, and exponential growth. Equipped with the technology, infrastructure, and partners running on one integrated system, Locad is on a mission to propel every business forward.",Early Stage Venture,16300000,USD,16300000
Meals in Minutes,https://www.crunchbase.com/organization/meals-in-minutes,"Food and Beverage, Food Delivery, Information Services","Midview City, Central Region, Singapore",Meals in Minutes helps cooking easier for busy people while also providing culinary solutions for food and beverage enterprises.,"11,853",Active,2020-01-01,year,,,,,For Profit,https://mealsinminutes.co/,Meals in Minutes helps cooking easier for busy people while also providing culinary solutions for food and beverage enterprises.,Seed,1500000,USD,1500000
Green Li-ion,https://www.crunchbase.com/organization/green-li-ion,"CleanTech, Renewable Energy","Singapore, Central Region, Singapore",Green Li-ion is a deep clean technology that solves the existential risk to the precious metals industry and the environment.,"12,869",Active,2020-01-01,year,,,,,For Profit,https://www.greenli-ion.com/,"Green Li-ion is a deep clean technology that solves the existential risk to the precious metals industry and the environment. Its patented deep technology is Cleaner, Faster, and 4x more profitable than current Lithium-Ion Battery recycling and the only technology to fully Rejuvenate the battery cathode.  It was founded in 2020 and is based in Singapore.",Early Stage Venture,35500000,USD,35500000
GetGo,https://www.crunchbase.com/organization/getgo-da56,"Car Sharing, Internet, Mobile Apps, Transportation","Singapore, Central Region, Singapore",GetGo is an application that provides hourly car rental and car-sharing services.,"13,582",Active,2020-01-01,year,,,,,For Profit,https://getgo.sg,GetGo is an application that provides hourly car rental and car-sharing services.,,20000000,SGD,14893474
Qosmosys,https://www.crunchbase.com/organization/qosmosys,"Aerospace, Air Transportation","Singapore, Central Region, Singapore",Qosmosys is committed to making sound technical decisions to ensure the durability.,"13,702",Active,2020-01-01,year,,,,,For Profit,https://qosmosys.com,"Qosmosys is committed to making sound technical decisions to ensure the durability, versatility, and cost viability of ZeusX, a massive and heavy spacecraft design with flexible robotic extensions designed for autonomous missions on the Moon's surface.",Seed,100000000,USD,100000000
