Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Novartis,https://www.crunchbase.com/organization/novartis,"Biotechnology, Health Care, Medical, Pharmaceutical, Precision Medicine","Basel, Basel-Stadt, Switzerland",Novartis is a healthcare company that provides solutions to address the evolving needs of patients worldwide.,32,$10B+,Active,1996-01-01,year,2000-05-19,day,,,For Profit,https://www.novartis.com,Novartis is a global healthcare company based in Switzerland that provides solutions to address the evolving needs of patients worldwide. Their mission is to discover new ways to improve and extend people's lives. They apply their expertise in science and innovation to society’s biggest health challenges. Responsibility is a core part of their business strategy.,IPO,6500000,USD,6500000
Stalicla,https://www.crunchbase.com/organization/stalicla,"Biotechnology, Life Science, Medical, Precision Medicine","Genève, Geneve, Switzerland",STALICLA is a biotechnology company developing precision medicine treatments for patients with neurodevelopmental disorders.,"1,113",$1M to $10M,Active,2017-05-01,month,,,,,For Profit,https://stalicla.com/,"STALICLA is a clinical stage, precision molecular neuroscience biotech company with a mature pipeline for patients with Neurodevelopmental Disorders (NDDs) and Neuropsychiatric disorders. STALICLA’s unique approach addresses a principal weakness in the drug development process for NDD’s and neuropsychiatric disorders: behavior is a terrible biomarker. Clinical psychiatric and neurodevelopmental diagnoses encompass a broad diversity of underlying biology. This has contributed to drug development failure by diluting true responders in a population of patients with heterogeneous biology. STALICLA’s technology platform, DEPI, discovers biologically based endophenotypes within classical neuropsychiatric diagnostic groups. The AI/ML engine converges molecular data with human genetic information and non-behavioral clinical signs and symptoms, to define biologically related subgroups and create testable clinical hypotheses related to that biology. The DEPI platform has already completed several successful clinical validations, through the identification and biological validation of two distinct subgroups of patients with Autism Spectrum Disorder, ASD-Phenotype1 and ASD-Phenotype2, together with their predicted tailored treatment candidates (STP1 and STP2); as well as the blindly and retrospective calling “high” responder patients to previously failed drug candidates with high specificity, sensitivity, and positive predictive value. Further the completion of STP1 Phase 1b in 2022, STP1 will enter clinical Phase 2 in 2023; as well as STP2, a Phase 2 ready asset in licensed in Q4 ’22. Additionally, STALICLA will be advancing STP7, a recently in-licensed Phase 3 ready asset from Novartis, with strong potential for a neuropsychiatric indication, and whose clinical development will be fully financed by a non-dilutive funding to be announced in Feb. STALICLA is currently preparing its next stage of growth, to advance its pipelines and to scale its platform towards revenue generation.",Early Stage Venture,53459379,USD,53459379
Timeline,https://www.crunchbase.com/organization/amazentis,"Biotechnology, Health Care, Nutrition, Wellness","Lausanne, Vaud, Switzerland",Timeline is an operator of a life science company aimed to sell goods that target mitochondrial health for enhanced nutrition.,"2,880",,Active,2007-01-01,year,,,,,For Profit,https://www.timelinenutrition.com,Timeline is an operator of a life science company aimed to sell goods that target mitochondrial health for enhanced nutrition.,Late Stage Venture,64400000,CHF,73738309
GeNeuro,https://www.crunchbase.com/organization/geneuro,"Biotechnology, Health Care, Therapeutics","Geneva, Geneve, Switzerland",GeNeuro is a clinical stage pharmaceutical company developing a new approach to the treatment of autoimmune diseases.,"3,061",$1M to $10M,Active,2006-01-01,year,2016-04-15,day,,,For Profit,http://www.geneuro.com,"GeNeuro is a biotechnology company that develops therapeutic drugs for diseases associated with the expression of pathogenic proteins of the human endogenous retroviral origin. The company is primarily focused on nervous system diseases such as multiple sclerosis and schizophrenia. Its products include GNbAC1, a therapeutic monoclonal antibody for the treatment of multiple sclerosis. It also develops diagnostic tests to dose the multiple sclerosis-associated retrovirus-ENV proteins in patients.GeNeuro was founded in 2006 and is based in Plan-Les-Ouates, Switzerland.",IPO,54559503,USD,54559503
AC Immune,https://www.crunchbase.com/organization/ac-immune-sa,"Biotechnology, Pharmaceutical, Therapeutics","Lausanne, Vaud, Switzerland",AC Immune is a  biopharmaceutical company focused on neurodegenerative diseases with three product candidates in clinical trials,"3,620",$10M to $50M,Active,2003-01-01,year,2016-09-23,day,,,For Profit,http://acimmune.com,"AC Immune is a clinical stage Swiss-based biopharmaceutical company focused on neurodegenerative diseases with three product candidates in clinical trials. The Company designs, discovers and develops therapeutic and diagnostic products intended to prevent and modify diseases caused by misfolding proteins. AC Immune's two proprietary technology platforms create antibodies, small molecules and vaccines to address a broad spectrum of neurodegenerative indications",IPO,167489497,USD,167489497
GlycoEra,https://www.crunchbase.com/organization/glycoera,Biotechnology,"Schlieren, Zurich, Switzerland",GlycoEra is a CustomGlycanengineering platform that unlocks the glycan-mediated biology to develop a pipeline of novel therapeutics.,"4,129",$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://glycoera.com,GlycoEra is a CustomGlycan platform that unlocks the power of glycan-mediated biology to develop a pipeline of novel biologics.,Early Stage Venture,45000000,CHF,49334802
ADC Therapeutics,https://www.crunchbase.com/organization/adc-therapeutics,"Biopharma, Biotechnology, Medical, Therapeutics","Lausanne, Vaud, Switzerland",ADC Therapeutics develops antibody drug conjugates and non-antibody drug conjugate products.,"4,400",$1M to $10M,Active,2011-01-01,year,2020-05-14,day,,,For Profit,http://www.adctherapeutics.com,ADC Therapeutics is a clinical-stage oncology drug discovery and development company focused on advancing highly potent and targeted antibody-drug conjugates (ADCs) for the treatment of hematological cancers and solid tumors. Their ADCs are developed using the latest-generation pyrrolobenzodiazepine (PBD) dimer technology providing a superior therapeutic index compared to first-generation PBD ADCs in preclinical studies. PBD dimers are very potent toxins that actively kill cancer cells and have a differentiated mechanism of action than warheads commonly used in other ADCs.,IPO,751552216,USD,751552216
Addex Therapeutics,https://www.crunchbase.com/organization/addex-therapeutics,"Biotechnology, Health Care, Medical, Pharmaceutical","Plan-les-ouates, Geneve, Switzerland",Addex Therapeutics is a biopharmaceutical company that discovers and develops allosteric modulators for human health.,"4,421",$1M to $10M,Active,2002-01-01,year,2007-05-21,day,,,For Profit,http://addextherapeutics.com,"Addex Therapeutics is a clinical-stage pharmaceutical company focused on the development and commercialization of an emerging class of novel orally available small-molecule drugs known as allosteric modulators for neurological disorders. Its modulators offer several potential advantages over conventional non-allosteric molecules and may offer an improved therapeutic approach to conventional ""orthosteric"" small molecules or biological drugs. Its allosteric modulator drug discovery platform targets receptors and other proteins that are recognized as essential for therapeutic intervention.",M&A,203881693,USD,203881693
Pharvaris,https://www.crunchbase.com/organization/pharvaris,"Biotechnology, Health Care, Life Science, Pharmaceutical","Zug, Zug, Switzerland",Pharvaris is a clinical-stage biomedical company focused on bringing oral bradykinin B2-receptor antagonists to patients.,"4,941",,Active,2015-01-01,year,2021-02-04,day,,,For Profit,https://pharvaris.com,"Pharvaris is a clinical-stage company focused on bringing an oral bradykinin B2 receptor antagonist to patients. By targeting this clinically proven therapeutic target with novel small molecules, we are progressing with new alternatives to injected therapies for all sub-types of hereditary angioedema (HAE) and other B2 receptor-mediated indications. PHA121, Pharvaris’ lead drug candidate, is a novel and potent small-molecule bradykinin B2 receptor antagonist currently under Phase 1 clinical study. The co-founders of Pharvaris include an inventor of icatibant and the leadership from Jerini AG that developed icatibant for the treatment of HAE, now sold by Takeda under the brand name Firazyr®.",IPO,532287335,USD,532287335
LimmaTech Biologics,https://www.crunchbase.com/organization/limmatech-biologics,"Biopharma, Biotechnology","Schlieren, Zurich, Switzerland",LimmaTech Biologics AG is a clinical stage biopharmaceutical company.,"5,213",,Active,2015-01-01,year,,,,,For Profit,https://lmtbio.com/,LimmaTech Biologics AG is a clinical-stage biopharmaceutical company.,Early Stage Venture,39462275,USD,39462275
