Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
ArriVent Biopharma,https://www.crunchbase.com/organization/arrivent-biopharma,"Biotechnology, Life Science, Pharmaceutical","Pennsylvania Furnace, Pennsylvania, United States",ArriVent develops pharmaceutical products to cure presently untreatable cancer.,312,$10M to $50M,Active,2021-01-01,year,2024-01-26,day,,,For Profit,https://arrivent.com/,ArriVent is a biopharmaceutical company developing pharmaceutical products to cure presently untreatable cancer.,IPO,305000000,USD,305000000
Ratio Therapeutics,https://www.crunchbase.com/organization/ratio-therapeutics,"Biopharma, Biotechnology, Life Science, Medical, Pharmaceutical","Boston, Massachusetts, United States",Ratio Therapeutics is a clinical phase pharmaceutical company that develops radiopharmaceuticals for solid tumors.,543,$10M to $50M,Active,2021-01-01,year,,,,,For Profit,https://ratiotx.com,"Ratio Therapeutics develops radiotherapeutics for the treatment of cancers. They engaged in research and development platforms, trillium and macropa, enable the imaging, discovery, and advancement of radiopharmaceuticals. It enables doctors to detect a wide range of epithelial-derived cancers, such as breast, pancreatic, lung, colon cancers, and more.",Early Stage Venture,90000000,USD,90000000
Myrobalan Therapeutics,https://www.crunchbase.com/organization/myrobalan-therapeutics,"Biotechnology, Health Care, Therapeutics","Medford, Massachusetts, United States",Myrobalan Therapeutics is a biotech firm that develops oral neurorestorative therapies to reverse key brain dysfunctions and CNS conditions.,638,$10M to $50M,Active,2021-01-01,year,,,,,For Profit,https://myrotx.com,"Myro Therapeutics is a biotechnology company that focuses on the development of therapeutic solutions for Central Nervous System (CNS) disorders. The company's approach is rooted in a deep understanding of disease biology and mechanisms, which allows for the selection of targets that can effectively combat these disorders. Myro Therapeutics has a dedicated team of scientists who work tirelessly to advance the company's research and development efforts. The company has recently celebrated its second anniversary and has also moved into a new office space, indicating a period of growth and expansion.",Early Stage Venture,24400000,USD,24400000
Artera,https://www.crunchbase.com/organization/artera-98e6,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Precision Medicine","Los Altos, California, United States",Artera develops multimodal artificial intelligence-based predictive and prognostic cancer tests to customize treatments for cancer patients.,786,,Active,2021-01-01,year,,,,,For Profit,https://artera.ai,Artera is a provider of precision medicine and develops artificial intelligence (AI) testing to customize treatments for cancer patients. It develops specialized tools to support personalized clinical care. Its test predicts therapeutic benefits and provides risk stratification.,,110000000,USD,110000000
Moonwalk Biosciences,https://www.crunchbase.com/organization/moonwalk-biosciences,"Biopharma, Biotechnology, Life Science","San Francisco, California, United States",Moonwalk Biosciences operates a genomic medicine company that aims to provide a new class of precision epigenetic medications.,910,,Active,2022-01-01,year,,,,,For Profit,https://moonwalk.bio,"Moonwalk Biosciences is a genomic medicine startup that aims to provide a new class of precision epigenetic therapeutics. The company is working on the development of a profiling and engineering technology platform that, with the help of advanced artificial intelligence prediction, provides a comprehensive view of the epigenome in health and disease, allowing healthcare providers to take a fresh look at how therapies are discovered and developed.",Early Stage Venture,57000000,USD,57000000
OnCusp Therapeutics,https://www.crunchbase.com/organization/oncusp-therapeutics,"Biotechnology, Health Care, Oncology, Pharmaceutical, Product Research","New York, New York, United States",OnCusp Therapeutics is a biopharmaceutical company turning cutting-edge research assets into innovative oncology treatments.,931,$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://www.oncusptx.com,"OnCusp Therapeutics is a biopharmaceutical company turning cutting-edge research assets into innovative oncology treatments. It is always working to improve the largest value inflection point in the drug development value chain, believing that speeding oncology medication innovation is the most effective method to provide help and hope to cancer patients around the world. It is founded by Bing Yuan, Eric Slosberg, and Andy Fu.",Early Stage Venture,125000000,USD,125000000
FibroBiologics,https://www.crunchbase.com/organization/fibrobiologics,"Biopharma, Biotechnology, Pharmaceutical","Houston, Texas, United States",FibroBiologics is a regenerative medicine company developing an innovative solution for chronic disease treatment using fibroblast cells.,"1,025",$1M to $10M,Active,2021-01-01,year,2024-01-31,day,,,For Profit,https://www.fibrobiologics.com/,"Based in Houston, Texas, FibroBiologics is a regenerative medicine company developing an innovative solution for chronic disease treatment using fibroblast cells. Currently, FibroBiologics holds 150+ U.S. and International issued patents/patents pending across a variety of clinical pathways, including Disc Degeneration, Orthopedics, Multiple Sclerosis, and Cancer. FibroBiologics represents the next generation of medical advancement in cell therapy.",IPO,104999986,USD,104999986
Tourmaline Bio,https://www.crunchbase.com/organization/tourmaline-bio,"Biotechnology, Clinical Trials, Therapeutics","New York, New York, United States",Tourmaline Bio is a clinical biotechnology company developing transformative medicines to dramatically improve and prevent immune diseases.,"1,195",$1M to $10M,Active,2021-01-01,year,2023-10-20,day,,,For Profit,https://www.tourmalinebio.com,Tourmaline Bio is a clinical biotechnology company developing transformative medicines to dramatically improve the lives of patients and prevent immune diseases.,IPO,359500000,USD,359500000
Altos Labs,https://www.crunchbase.com/organization/altos-labs,"Biopharma, Biotechnology, Health Care, Health Diagnostics, Medical","San Francisco, California, United States","Altos Labs focuses on cellular rejuvenation programming to restore cell health and resilience, to reverse disease to transform medicine.","1,293",$10M to $50M,Active,2021-04-15,day,,,,,For Profit,https://altoslabs.com/,"Altos Labs is a biotechnology company focused on cellular rejuvenation programming to restore cell health and resilience, with the goal of reversing disease to transform medicine. The company comprises a community of leading scientists, clinicians, and leaders from both academia and industry working together towards this common mission. Altos has operations in the San Francisco Bay Area and San Diego, and in Cambridge, UK, with significant collaborations in Japan.",Early Stage Venture,3000000000,USD,3000000000
2seventy bio,https://www.crunchbase.com/organization/2seventy-bio,"Biotechnology, Genetics, Health Care, Oncology, Therapeutics","Cambridge, Massachusetts, United States",2seventy bio is an immuno-oncology cell therapy company that discovers and develops cancer therapies.,"1,814",$50M to $100M,Active,2021-01-01,year,2021-11-05,day,,,For Profit,https://www.2seventybio.com,"22seventy bio is an immuno-oncology cell therapy company that discovers and develops cancer therapies. The company combines a deep knowledge of cancer cell biology and genetics with an understanding of the immune response to cancer to advance its pipeline. It was established in Cambridge, Massachusetts in 2021.",IPO,315000000,USD,315000000
