Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Loam Bio,https://www.crunchbase.com/organization/soil-carbon,"Agriculture, AgTech, Biotechnology","Orange, New South Wales, Australia",Loam Bio is an agtech company that is using microbes to help the carbon cycle.,"2,824",$10M to $50M,Active,2019-01-01,year,,,,,For Profit,https://loambio.com,"Loam Bio is a developer of microbial carbon sequestration technology for soil carbon restoration. Crops can be inoculated with symbiotic microorganisms that live in a mutualistic relationship with crops and build organic carbon in the soil, allowing farmers to improve the host plant's fertility and disease resistance while also assisting the soil around the plant's roots to store carbon more effectively, resulting in proper quality soil for future planting. Loam Bio was established in 2019 in Orange, New South Wales by Guy Hudson.",Early Stage Venture,155000000,AUD,110152752
Prota Therapeutics,https://www.crunchbase.com/organization/prota-therapeutics,"Biotechnology, Product Research, Therapeutics","Melbourne, Victoria, Australia",Prota Therapeutics is a developer of new treatment for peanut allergy in children.,"7,808",,Active,2016-01-01,year,,,,,For Profit,https://protatherapeutics.com/,"Prota Therapeutics is an Australian, proprietary limited, privately-held biotech company established in 2016 to develop and commercialize novel combination probiotic allergen oral immunotherapy treatments. Prota holds an exclusive license to the patented probiotic food immunotherapy technology, developed at the MCRI. Series A funding of AUD $15m was secured from OneVentures, a leading Australian venture capital investment firm (OneVentures' Healthcare Fund III) – including $5M from the Australian Commonwealth Government Biomedical Translation Fund – as well as private investment. This has enabled Prota to advance their clinical program, develop scalable cGMP product manufacturing processes, and initiate discussions with regulatory agencies in the lead up to a planned large-scale pivotal Phase 3 efficacy and safety study for the PRT100 peanut allergy treatment.",Private Equity,36000000,USD,36000000
Novotech,https://www.crunchbase.com/organization/novotech,"Biotechnology, Health Care","Sydney, New South Wales, Australia",Novotech is internationally recognized as a leading regional full-service CRO.,"8,585",$50M to $100M,Active,1996-03-08,day,2017-08-22,day,,,For Profit,http://www.novotech-cro.com/,"Novotech is Australia’s largest independent CRO.  The Australian Head Office is in Sydney, with regional offices in Melbourne and Brisbane - providing easy access to the most important population centers in Australia.  Supported by regional staff across the country and in New Zealand, our coverage of the Australia/New Zealand region is comprehensive. With Asian services launched in 2007, Novotech’s operations provide access to the most dynamic and fast growing clinical research hubs in the region.",M&A,760000000,USD,760000000
Aravax,https://www.crunchbase.com/organization/aravax,"Biotechnology, Health Care, Wellness","Melbourne, Victoria, Australia",Aravax is an early stage biotechnology company focused on developing the first safe and rapidly effective treatment for peanut allergy.,"11,173",,Active,2015-01-01,year,,,,,For Profit,http://www.aravax.com.au/,"Aravax is an early stage biotechnology company focused on developing the first safe and rapidly effective treatment for peanut allergy. The company is using their proprietary technology to reset the immune system to tolerate peanut without evoking allergic reactions during treatment. Aravax was founded in May 2015 through acquisition of intellectual property developed by Alfred Health and Monash University.  Aravax has its headquarters in Melbourne, Australia.",Early Stage Venture,42200000,USD,42200000
Protagonist Therapeutics,https://www.crunchbase.com/organization/protagonist-therapeutics,"Biotechnology, Health Care, Medical","Brisbane, Queensland, Australia",Protagonist Therapeutics develops orally-stable peptides to treat diseases that are currently addressed by injectable antibodies.,"11,431",$10M to $50M,Active,2001-01-01,year,2016-08-10,day,,,For Profit,http://www.protagonist-inc.com,Protagonist Therapeutics is a biotechnology company dedicated to the discovery of novel peptide and small molecule compounds that mimic or inhibit therapeutically-relevant protein-protein interactions.,IPO,388990000,USD,388990000
Nutromics,https://www.crunchbase.com/organization/nutromics,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device, Sensor, Wearables","Melbourne, Victoria, Australia",Nutromics is a healthcare company that focuses on real-time remote biomarker monitoring devices.,"11,466",$1M to $10M,Active,2017-01-01,year,,,,,For Profit,http://www.nutromics.com.au,"Nutromics is a MedTech company revolutionising healthcare through continuous real time molecular monitoring. Our Smart Patch biosensor platform will solve some of the biggest healthcare challenges we face today in the fields of chronic disease prevention, chronic disease management, acute diseases and Therapeutic Drug Monitoring.",Seed,28560626,USD,28560626
Telix Pharmaceuticals,https://www.crunchbase.com/organization/telix-pharmaceuticals,Biotechnology,"Melbourne, Victoria, Australia",Telix Pharmaceuticalsis a clinical-stage biotechnology company focused on the development of diagnostic and therapeutic products.,"12,808",Less than $1M,Active,2015-11-01,day,2017-11-09,day,,,For Profit,http://www.telixpharma.com,"Telix Pharmaceuticals Ltd is a clinical-stage biotechnology company engaged in developing and commercializing molecularly-targeted radiation therapy to address the unmet needs in the management of prostate, renal (kidney) and glioblastoma (brain) cancer.",IPO,63500000,USD,63500000
Mesoblast,https://www.crunchbase.com/organization/mesoblast,"Biotechnology, Health Care, Health Diagnostics","Melbourne, Victoria, Australia",Mesoblast is a medicine company that develops biologic products for the broad field of regenerative medicine.,"13,305",$10M to $50M,Active,2004-01-01,year,2013-03-14,day,,,For Profit,http://www.mesoblast.com,"Mesoblast is a developer of biologic products for the broad field of regenerative medicine. Mesoblast's patented Mesenchymal Precursor Cell (MPC) technology is being developed for an extensive range of major clinical diseases, including inflammatory and immunologic conditions of the joints and lungs, diabetes, and kidney disease, orthopedic spine conditions, and cardiovascular disorders.",IPO,452295275,USD,452295275
Microba Life Sciences,https://www.crunchbase.com/organization/microba,"Biotechnology, Genetics, Health Care, Life Science, Wellness","Brisbane, Queensland, Australia",Microba Life Sciences is a precision microbiome science company powering medical innovation to transform human health.,"13,820",$1M to $10M,Active,2017-03-01,month,2022-04-05,day,,,For Profit,https://www.microba.com/,"Microba Life Sciences Ltd. provides consumers, doctors, and researchers with gut microbiome testing services using technology for measuring the human gut microbiota. The company analyzes the microbiome to discover therapeutics, develop new diagnostic tools to understand disease through comprehensive measurement of the human gut microbiome. Microba Life Sciences was established in March 2017 by Philip Hugenholtz and Gene Tyson in Brisbane, Queensland.",IPO,21680963,USD,21680963
Vaxxas,https://www.crunchbase.com/organization/vaxxas,"Biotechnology, Health Care, Medical Device","Brisbane, Queensland, Australia",Vaxxass is a biotechnology company focused on needle-free vaccination technology.,"13,999",$1M to $10M,Active,2011-01-01,year,,,,,For Profit,http://www.vaxxas.com,"Vaxxass is a biotechnology company that develops a novel needle-free vaccination technology. The company uses proprietary dry-coating technology that can eliminate or significantly reduce the need for vaccine refrigeration during storage and transportation - easing the resource and logistics burden of maintaining the vaccine ""cold chain"".  Vaxxas was incorporated in 2011 and is based in Brisbane, Australia.",Late Stage Venture,102507689,USD,102507689
