Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Pluang,https://www.crunchbase.com/organization/pluang,"Financial Services, FinTech, Impact Investing","Jakarta, Jakarta Raya, Indonesia",Pluang is a financial technology application that specializes in digital micro-savings and micro-investment products.,"3,444",Active,2019-01-01,year,,,,,For Profit,https://pluang.com/,"Pluang is a financial technology application that opens public access opportunities to financial products easily and affordably. The company offers a gold savings product that allows investments starting from 0.01 grams and provides users with real-time liquidity and peace of mind as the gold is kept in a government-backed institution through the official Indonesian commodities exchange. Founded in 2019, Pluang is headquartered in Jakarta, Indonesia.",Early Stage Venture,113000000,USD,113000000
Swap,https://www.crunchbase.com/organization/swap-5961,"Automotive, Battery, Clean Energy","Penjaringan, Jakarta Raya, Indonesia",Swap is a e-mobility start-up that offers swappable battery product for e-motorcycles.,"5,036",Active,2019-01-01,year,,,,,For Profit,https://swap.id,"Swap is a company that makes a battery interchange system that is designed to replace the traditional charging process for electric motors. The company offers an energy switching system comprised of both energy stations and handmade batteries that can be used with the assistance of a mobile application, allowing users to supply speed and timeliness to bike riders at a low cost. The company aims to support the nation's zero-emission goal by providing the revolutionized charging infrastructure",Early Stage Venture,29200000,USD,29200000
Honest,https://www.crunchbase.com/organization/honestbank,"Apps, Banking, Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia",Honest builds financial products that people love.,"6,495",Active,2019-01-01,year,,,,,For Profit,https://honestbank.com/,Honest builds financial products that people love.,,56700000,USD,56700000
Otoklix,https://www.crunchbase.com/organization/otoklix,"Automotive, Autonomous Vehicles, Software","Kebayoran, Jakarta Raya, Indonesia",Otoklix specializes in the fields of automotive aftermarket industry.,"10,408",Active,2019-01-01,year,,,,,For Profit,https://otoklix.com/,"Otoklix is a focused Startup on the Automotive aftermarket domain. Otoklix's mission is to bridge the gap between vehicle owners and Indonesia’s fragmented general workshop industry. Transforming the vehicle maintenance experience for consumers and equipping workshops by increasing their visibility, providing business solutions through software, and reducing procurement costs.",Early Stage Venture,11979169,USD,11979169
Gravel,https://www.crunchbase.com/organization/gravel-61f8,Internet,"Jakarta, Jakarta Raya, Indonesia",Gravel is a technology company that makes it simple for you to find qualified and trustworthy construction workers.,"13,393",Active,2019-01-01,year,,,,,For Profit,https://gravel.co.id/,,,216000000000,IDR,13949281
Hangry,https://www.crunchbase.com/organization/hangry-688e,"Delivery Service, Food and Beverage, Food Delivery, Restaurants","Jakarta, Jakarta Raya, Indonesia",Hangry is a multi-brand virtual restaurant company that focuses on food delivery in Jakarta.,"15,003",Active,2019-01-01,year,,,,,For Profit,https://ishangry.com/,"Hangry is a multi-brand virtual restaurant company that focuses on serving foods through food delivery channels. The company owns several food brands ranging from fried chicken to coffee that can be ordered through the mobile application. It was founded in 2019 and is headquartered in Jakarta, Indonesia.",Early Stage Venture,37000000,USD,37000000
Rekosistem,https://www.crunchbase.com/organization/rekosistem,"Recycling, Waste Management","Melawai, Jakarta Raya, Indonesia",Rekosistem is a climate-tech startup that provides waste management and recycling services to optimise the waste value chain.,"15,324",Active,2019-01-01,year,,,,,For Profit,https://rekosistem.com/,Rekosistem is a climate-tech startup that provides waste management and recycling services to optimise the waste value chain.,,5000000,USD,5000000
Pitik,https://www.crunchbase.com/organization/pitik,"Agriculture, Farmers Market, Farming","Banten, Jawa Barat, Indonesia",Pitik is a modern agri-tech startup of poultry supply enabling chicken farmers with high efficienct technology.,"15,648",Active,2019-01-01,year,,,,,For Profit,https://pitik.id/en/pitik-digital-indonesia/,Pitik is a modern agri-tech startup of poultry supply enabling chicken farmers with high efficienct technology.,Early Stage Venture,14000000,USD,14000000
LinkAja,https://www.crunchbase.com/organization/linkaja,"Financial Services, FinTech, Mobile Payments","Jakarta, Jakarta Raya, Indonesia",LinkAja is an electronic-based service that makes financial transactions more simple and easy.,"16,134",Active,2019-01-01,year,,,,,For Profit,https://www.linkaja.id,"LinkAja is an electronic-based service that makes financial transactions more simple and easy. LinkAja is developing an ecosystem to make it easier for consumers to pay for critical everyday necessities such as data pulses, electricity tokens, payments at gas stations, public transit, and many others, including collaboration with numerous state-owned firms.",,100000000,USD,100000000
Beleaf,https://www.crunchbase.com/organization/beleaf-9f4f,"Agriculture, Farming, Hydroponics","Bogor, Jawa Barat, Indonesia","Beleaf is currently located in Bogor, Indonesia, and operates as a hydroponic farm.","16,884",Active,2019-01-01,year,,,,,For Profit,http://www.beleaf.co.id,"Beleaf is currently located in Bogor, Indonesia, and operates as a hydroponic farm.",Early Stage Venture,8850000,USD,8850000
