Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Clensta,https://www.crunchbase.com/organization/clensta,"Biotechnology, Health Care, Sustainability, Wellness","New Delhi, Delhi, India",Clensta is a direct-to-consumer (D2C) personal and home care startup that develops complete cleaning solutions.,"3,705",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,http://clensta.com,"Clensta is a biotechnology start-up to improve the National Hygiene condition whilst addressing the aspect of water conservation. Clensta is an Indian startup and in association with IIT Delhi, works to create innovative healthcare solutions to make hygiene accessible for anyone, anytime, and anywhere. Driven by their aim to create products that promote complete cleaning solutions without water.",,12652015,USD,12652015
Algorithmic Biologics,https://www.crunchbase.com/organization/algorithmic-biologics,"Bioinformatics, Biotechnology, Information Technology, Medical, Software","Bangalore, Karnataka, India",Algorithmic Biologics develops software and technology to maximize molecular testing processes.,"5,371",,Active,2021-01-01,year,,,,,For Profit,https://algorithmicbiologics.com/,"Algorithmic Biologics develops software and technology to maximize molecular testing processes. It operates ""Tapestry,"" a tool that uses algorithm to examine multiple samples at the same time. Algorithmic Biologics is headquartered in Bangalore, India.",Seed,207000000,INR,2493947
Absolute,https://www.crunchbase.com/organization/ecsoglobal,"Agriculture, Biotechnology, Food and Beverage, Fruit","New Delhi, Delhi, India",Absolute® is a pathbreaking plant bioscience company.,"6,096",,Active,2015-01-01,year,,,,,For Profit,http://absolute.ag,"Absolute Foods is a food production and agriculture company. Absolute Foods' OS actionable insights based on inputs from the likes of sensors, satellite feeds, and others to the farmers for optimal growing conditions throughout the crop cycle.",Early Stage Venture,115523059,USD,115523059
Molbio Diagnostics,https://www.crunchbase.com/organization/molbio-diagnostics,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical Device","Verna, Goa, India",Molbio Diagnostics is a molecular diagnostics manufacturer that specializes in the low-cost diagnosis of tuberculosis and other diseases.,"10,411",$100M to $500M,Active,2000-10-20,day,,,,,For Profit,http://www.molbiodiagnostics.com,"Molbio Diagnostics is a molecular diagnostics manufacturer that specializes in the low-cost diagnosis of tuberculosis and other diseases. The company was founded in 2000 by riram Natarajan and is headquartered in Verna, Goa, India.",,117495843,USD,117495843
Enzene Biosciences,https://www.crunchbase.com/organization/enzene-biosciences,"Biotechnology, Delivery, Manufacturing","Pune, Maharashtra, India",Enzene Biosciences is a technology driven Biotech Company,"12,308",$50M to $100M,Active,2006-08-28,day,,,,,For Profit,http://www.enzene.com/,"Delivering cost effective biosimilars by developing disruptive technologies, advanced analytics and state-of-the-art manufacturing facility. Being the most desired Biotech company to work for by creating an unparalleled work culture. Broadening the footprint of their innovative technologies through strategic global alliances.",,4100000000,INR,50257354
altM,https://www.crunchbase.com/organization/altm,"Advanced Materials, Biotechnology, Chemical","Bangalore, Karnataka, India",altM is an alternate Materials company,"12,875",$1M to $10M,Active,2022-06-01,month,,,,,For Profit,https://www.altm.bio/,"altM is an alternate Materials company. We are currently prototyping and will manufacture scalable biomaterials to help large industries reduce carbon footprints across their value chains.  We use lignocellulosic agricultural residues to develop a family of advanced input raw materials to replace the current unsustainable incumbents across our product partner industries in CPG/FMCG, apparel, industrial chemicals, and packaging.  Materials of interest: Sustainable Chemicals, Biomaterials (including Composites), and Fuels",Seed,3500000,USD,3500000
LifeCell International,https://www.crunchbase.com/organization/lifecell-international,"Biotechnology, Health Care, Medical","Chennai, Tamil Nadu, India",LifeCell is a private stem cell bank that brings the concept of umbilical cord stem cell banking to India.,"13,044",$100M to $500M,Active,2004-01-01,year,,,,,For Profit,https://www.lifecell.in/,"LifeCell is a private stem cell bank that brings the concept of umbilical cord stem cell banking to India. Set up in the year 2004, LifeCell started out as an umbilical cord stem cell banking company and has now grown to become a comprehensive stem cells solutions provider with a complete spectrum of services including multi-service stem cell banking, R&D, stem cell clinical trials, and stem cell therapy. Based in Chennai, LifeCell has a spread over 100 service centers in India and the GCC countries.",,2900000000,INR,40994102
Mylab Discovery Solutions,https://www.crunchbase.com/organization/mylab-discovery-solutions,"Biotechnology, Health Care, Life Science","Lonavla, Maharashtra, India",Mylab Discovery Solutions is provides a portfolio of diagnostic kits for pathogen detection and viral load monitoring.,"14,292",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://mylabdiscoverysolutions.com/,"Mylab Discovery Solutions is a Young and Dynamic Biotechnology company, that develops and commercializes molecular diagnostic detection kits, to empower labs to obtain reliable, timely, and actionable answers. We offer a wide range of solutions applicable in diverse markets including clinical diagnostics, pharmaceutical drug discovery, biomedical research, agrigenomics and animal and food safety. We accelerate reliable answers while simplifying complexity and deliver certainty with a seamless experience.",,1060000000,INR,12929113
Stelis Biopharma,https://www.crunchbase.com/organization/stelis-biopharma,"Biopharma, Biotechnology, Life Science, Therapeutics","Bangalore, Karnataka, India",Stelis Biopharma is a biopharmaceutical company that delivers affordable treatments to patients in both emerging and developed markets.,"16,183",$10M to $50M,Active,2013-01-01,year,,,,,For Profit,https://stelisbiosource.com,"Stelis Biopharma is a biopharmaceutical company that delivers affordable treatments to patients in both emerging and developed markets. It provides a one-stop-shop with comprehensive capabilities from Cell line and Process Development through to scale up, cGMP manufacturing, and fills/finish of proteins and peptides. Offer services at every stage of the development life cycle from Pre-Clinical and Clinical Development to Commercial Supply. At Stelis BioSource™, we assure customers of CDMO/CMO services, our deep commitment to Quality, Service, and Compliance. Stelis Biopharma Pvt. Ltd. (Stelis) was started in 2013 by Strides Pharma Science Limited (Strides) to drive a global affordable biopharma business. Via on-going investment, Strides remains a majority owner of Stelis alongside GMS Holdings and Tenshi Life Sciences. It continues to operate as an independent and autonomous subsidiary company.",Late Stage Venture,230000000,USD,230000000
Strand Life Sciences,https://www.crunchbase.com/organization/strand-life-sciences,"Bioinformatics, Biotechnology, Genetics, Health Care, Information Technology, Medical","Bangalore, Karnataka, India",Strand is leading a new generation of healthcare defined by genetic insights into disease.,"17,051",$1M to $10M,Active,2000-01-01,year,2021-09-04,day,,,For Profit,http://strandls.com/,"Strand Life Sciences provides bioinformatics solutions with advanced visualization, predictive systems modeling, data integration, and scientific context management components to transform raw data into actionable insights. The company employs 200 people, mostly in Bangalore, India, and services both the research and clinical markets.  Strand enjoys three advantages over the competition globally: superior software analytics, superior curation of gene variants, and a major cost advantage for DNA test interpretation. When combined, Strand is finding a rapidly growing demand for its StrandOmics software platform, which hospitals and service providers can use to service their patients and healthcare clients. With every sequence and gene test, the company’s cloud database gets more valuable with related metadata, which can be used to improve future analytics, thereby creating an additional demand for StrandOmics. Strand has developed the most advanced software for analyzing DNA sequences. Today, 1,400 research institutions worldwide use Strand’s software under the product names GeneSpring (marketed by Agilent) and Avadis (marketed by Strand). The company reached profitability in 2007, and in early 2013, the company began to service the clinical market in India. It opened its own DNA sequence and gene panel wet lab in Bangalore, India, and in December, the company opened a lab which it operates in the 1,400-bed Mazumdar-Shaw Cancer Center in Bangalore. By the end of 2013, Strand was servicing the gene testing and DNA sequence analysis needs of over 100 hospitals in India, and in 2014 it has begun to expand into the US market.",M&A,13000000,USD,13000000
Zero Cow Factory,https://www.crunchbase.com/organization/zero-cow-factory,"Agriculture, Biotechnology, Food and Beverage, Life Science","Surat, Gujarat, India",Zero Cow Factory is a biotechnology company that concentrates on the research and development of animal-free dairy products.,"17,106",$1M to $10M,Active,2021-02-24,day,,,,,For Profit,https://zerocowfactory.com,"Zero Cow Factory is reinventing the meaning of traditional dairy and food industry by producing India's first animal-free milk protein and dairy products (certainly a world's first A2 milk protein) using bioengineering the microbes & precision fermentation. Our patented technology is to reproduce nature identical milk proteins to craft real dairy products that are ethical, safe, delicious, and identical to cow milk without any animal involved. Our products are free of lactose, antibiotics, hormone, cholesterol and saturated fat. Our technology is also environmentally friendly and there is 99% less land consumption, 98% less water consumption, 84% less CO2e consumption and 65% less energy consumption compared to traditional dairy industry.",Seed,4130000,USD,4130000
BioPrime AgriSolutions,https://www.crunchbase.com/organization/bioprime-agrisolutions,"Biotechnology, Internet, Marketing","Pune, Maharashtra, India",A Start up with an endeavor to bring out disruptive innovations in Products as well as Services to improve and transform agriculture,"18,636",,Active,2016-01-01,year,,,,,For Profit,https://www.bioprimeagri.com/,"Develop Innovative and Disruptive Next-Generation Agri Biological technology platforms, which will prove to be game changer for farmer, help them combat climate change, fight different stress conditions, increase yield and thereby increase their revenues. Their endeavor is to be leader in the agricultural industry, reforming and revolutionizing the industry by developing, promoting and providing Innovative and Sustainable farming solutions.",Seed,2591953,USD,2591953
Sea6 Energy,https://www.crunchbase.com/organization/sea6-energy,"Biofuel, Biotechnology, Energy, Environmental Engineering, Sustainability, Waste Management","Bangalore, Karnataka, India",Sea6 Energy is a platform that utilizes the unlimited potential of the oceans in a sustainable and ethical way.,"20,121",$1M to $10M,Active,2010-01-01,year,,,,,For Profit,http://sea6energy.com,"Sea6 Energy is a platform that utilizes the unlimited potential of the oceans in a sustainable and ethical way. It visualizes a future where the abundant oceans will be the biomass farms of the future, to provide solutions in energy, agriculture, and food. Sea6 Energy has a team of professionals from diverse fields like industrial automation, plant pathology, ocean engineering, bioprocess engineering, marine biology, and aerospace engineering, with the goal of building a whole new economy based on marine biomass. It develops technologies to convert biomass into biofuel, plant growth stimulants, plant defence products, animal feed ingredients, and other bio-renewable products to replace chemicals and plastics, effectively creating a Bio-refinery out of marine biomass, churning out a whole variety of products leaving nothing to waste. Sea6 Energy was founded on 2010 and is headquartered in Bangalore, India.",Early Stage Venture,27383505,USD,27383505
Pandorum Technologies,https://www.crunchbase.com/organization/pandorum-technologies,"Biotechnology, Emergency Medicine, Health Care","Bengaluru, Karnataka, India",Bengaluru based biotech startup.,"20,907",$1M to $10M,Active,2011-01-01,year,,,,,For Profit,https://pandorum.com,"Pandorum Technologies Pvt. Ltd. is a Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine. With its distinct synergy of life science, engineering and clinical competences, the company designs and manufactures three dimensional functional human tissues; intended for medical research and therapeutics. Pandorum Technologies is supported by the Biotechnology Industry Research Assistance Council, Department of Biotechnology, GoI. Pandorum’s labs are presently located in the Center for Cellular and Molecular Platforms, National Centre for Biological Sciences campus, Bengaluru, and in the Bangalore Bioinnovation Centre, Biotech Park, Electronics City Phase 1, Bengaluru.",,21994608,USD,21994608
GreenPod Labs,https://www.crunchbase.com/organization/greenpod-labs,"Agriculture, AgTech, Biotechnology, Food and Beverage, Sustainability","Chennai, Tamil Nadu, India",GreenPod Labs is an Agri-biotech company developing sustainable solutions to minimize agricultural food waste in India.,"21,176",$1M to $10M,Active,2019-10-09,day,,,,,For Profit,https://greenpodlabs.com/,"Despite India being the 2nd largest producer of fruits and vegetables, 40% of it is lost before it reaches the consumer. The economic loss of food waste costs the country $12 Billion. The primary causes of the losses are poor storage and transportation facilities. The company has developed an active packaging sachet that can extend the shelf life of fruits and vegetables. The product comprises of nano-encapsulated plant extracts that can naturally slow down the ripening rate and minimize the microbial attack.",Seed,651528,USD,651528
Synergia Life Sciences,https://www.crunchbase.com/organization/synergia-life-sciences,"Biotechnology, Chemical, Manufacturing, Pharmaceutical","Mumbai, Maharashtra, India","Synergia Life Sciences is a manufacturer of chemicals and chemical products, pharmaceuticals and botanical products.","21,226",$1M to $10M,Active,2004-01-01,day,2021-11-30,day,,,For Profit,https://www.synergialifesciences.com,Synergia produces spore probiotics and K2-7 vitamins and is already the producer and supplier to Microbiome Labs.,M&A,400000000,INR,6095954
OmniBRx Biotechnologies,https://www.crunchbase.com/organization/omnibrx-biotechnologies,"Biotechnology, Manufacturing, Pharmaceutical","Ahmedabad, Gujarat, India",OmniBRx Biotechnologies produces technologically-advanced bioreactors for the pharmaceutical industry.,"23,558",$1M to $10M,Active,2016-01-01,day,,,,,For Profit,https://www.omnibrx.com,"The Omnibrx Biotechnologies brought is an universal solution for the most efficient adherent cell culture processing with ultimate simplicity and scalability. The compact system, designed for quick implementation and ease-of-use, represents a new generation of rigid wall single-use bioreactors. Central to the CellBRx bioreactors technology is the use of a compact rotating dynamic-bed design, filled with custom disc shaped macro-carriers. This matrix discs are made of medical grade non-woven polyester microfibers (USP Class VI, ISO 10993 certifications) and available from 0.25L to 1000L working volume size.",Early Stage Venture,300000000,INR,3639948
PlasmaGen Biosciences,https://www.crunchbase.com/organization/plasmagen-biosciences,"Biotechnology, Health Care, Pharmaceutical","Bangalore, Karnataka, India",PlasmaGen Biosciences is a biopharmaceutical company .,"26,317",$1M to $10M,Active,2010-01-01,year,,,,,For Profit,http://www.plasmagen.in/,"PlasmaGen BioSciences is an Indian Bio-pharmaceutical organization specializing exclusively in Plasma Protein Therapy. Headquartered in Bangalore- India, PlasmaGen has been making every effort in the domain of Plasma product Industry and has become an Imperative one stop destination for the medical fraternity for most of the plasma products need. They have a basket of plasma products and the widest range of immunoglobulins in India catering to the requisites of various realms viz. Haematology, Oncology, Immunology, Paediatrics, Rheumatology, Dermatology and Neurology.",,52011048,USD,52011048
Piscium Health Sciences,https://www.crunchbase.com/organization/piscium-health-sciences,"Biotechnology, Dental, Medical Device","Mumbai, Maharashtra, India",Piscium Health Sciences is a dentistry and medical device manufacturing firm.,"26,491",,Active,2017-01-01,year,,,,,For Profit,https://piscium.in,Piscium Health Sciences is a dentistry and medical device manufacturing firm that aspires to offer solutions that advance the skill of dental and medical practitioners through research.,Early Stage Venture,60000000,INR,723053
Mynvax,https://www.crunchbase.com/organization/mynvax,"Biotechnology, Health Care","Bangalore, Karnataka, India",Mynvax is an Indian-based biotech startup that develops next-generation vaccines for influenza.,"27,175",,Active,2017-05-05,day,,,,,For Profit,http://mynvax.com/,"Mynvax is an Indian-based biotech startup that develops next-generation vaccines for influenza. In addition, the technology allows for very rapid, large-scale, and low-cost production of vaccines that could potentially be used to protect people when there is a pandemic. Mynvax, which was incubated at the Indian Institute of Science, was founded in 2017 by Raghavan Varadarajan and Gautham Nadig.",Early Stage Venture,310000000,INR,4133689
Mestastop Solutions,https://www.crunchbase.com/organization/mestastop-solutions,"Biotechnology, Life Science","Bengaluru, Karnataka, India","Proprietary in vitro, in vivo and patient ex-vivo platforms to address cancer metastasis drug discovery and predictive diagnostics","32,399",$1M to $10M,Active,2018-09-06,day,,,,,For Profit,https://mestastop.com/,"Problem Statement: Most current drugs approved for metastatic cancer, responsible for 90% of deaths, increase survival by a meagre few months. Clinicians need molecules that will delay the tumours' spread and empower them with more time to treat localized cancer. Additionally, the current method of stratifying patients at higher risk of metastasis via the node status often does not work, surprising clinicians. The Solution: Mestastop has identified the gaps as to why anti-metastasis drug discovery failed and has created three proprietary platforms integrating cell biology, genetic engineering, machine learning, animal pharmacology and clinical sampling that do the following: 1. Identifies the rate-limiting steps of metastasis, thereby discovering novel first-in-class targets 2. Screening platform to identify compounds that abrogate the rate-limiting steps 3. Screening platform that identifies the effect of approved drugs on the process of metastasis 4. Predicting the metastatic probability of a treatment-naive primary tumour patient with no second lesion",Seed,58000000,INR,714425
Eyestem,https://www.crunchbase.com/organization/eyestem,Biotechnology,"Bengaluru, Karnataka, India",Eyestem is a cell therapy company founded by a top-class management team.,"38,050",,Active,2016-01-01,year,,,,,For Profit,https://www.eyestem.com/,"Eyestem is a cell therapy company founded by a top-class management team consisting of clinical trial, cell therapy and ophthalmology experts. It also boasts a world class advisory board and we have built collaborations with pioneers and leaders in the space. Our long-term vision is to create a global and scalable cell therapy platform to treat incurable diseases. We are developing a cell therapy platform to produce consistent, quality products over the next few years, concentrating on in vitro efficacy and safety.",Early Stage Venture,510000000,INR,6406866
