Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Timo,https://www.crunchbase.com/organization/timo,"Banking, Financial Services","Ho Chi Minh City, NA - Vietnam, Vietnam",Timo provides digital banking services in Vietnam,"12,874",Active,2015-01-01,year,,,,,For Profit,https://timo.vn/en,"Timo is a digital bank to help you on your journey to financial freedom. In partnership with Viet Capital Bank, Timo promises a private banking experience you’d expect from other banks, but without the hassle of maintaining a huge balance. Timo was established in 2015 by Don Lam in Ho Chi Minh City, NA - Vietnam.",,30000000,USD,30000000
Buy2Sell,https://www.crunchbase.com/organization/buy2sell,"Consulting, E-Commerce","Ho Chi Minh City, NA - Vietnam, Vietnam",Buy2sell is a supply chain and distribution platform for imported products.,"15,429",Active,2015-06-23,day,,,,,For Profit,https://buy2sell.vn/,"Buy2sell is a B2B e-commerce company (Singapore) to distribute imported products to countries in Asia Pacific. Founded in 2015, Buy2sell is headquartered in Ho Chi Minh City, Vietnam, Singapore, Hongkong and South Korea. Founded in 2015, Buy2sell is headquartered in Ho Chi Minh City, Vietnam.",Early Stage Venture,38000000,USD,38000000
Coin98,https://www.crunchbase.com/organization/coin98-finance,"Cryptocurrency, Software","Ho Chi Minh City, NA - Vietnam, Vietnam",Coin98 is a Crypto-focused software company.,"17,151",Active,2017-01-01,year,,,,,For Profit,https://webboxes.xyz/,Coin98 is a Crypto-focused software company.,,16500000,USD,16500000
Tepbac,https://www.crunchbase.com/organization/tepbac,"Information Services, Information Technology, Software","Ho Chi Minh City, NA - Vietnam, Vietnam",Tepbac aims to shake up Vietnam’s aquaculture industry with a comprehensive suite of software and hardware solutions.,"21,479",Active,2017-01-01,year,,,,,For Profit,http://tepbac.vn/,Tepbac aims to shake up Vietnam’s aquaculture industry with a comprehensive suite of software and hardware solutions.,Seed,2349825,USD,2349825
FE CREDIT,https://www.crunchbase.com/organization/fe-credit,"Commercial, Consumer Lending, Finance, Financial Services","Ho Chi Minh City, NA - Vietnam, Vietnam",FE CREDIT is a consumer finance market that provides consumer lending services.,"24,771",Active,2015-02-01,day,,,,,For Profit,http://www.fecredit.com.vn,"Founded as Consumer Finance Division of Vietnam Prosperity Joint-Stock Commercial Bank (VPBank), after 5 years of establishment, FE CREDIT successfully transferred all consumer finance operations to the new independent company – VPBank Finance Company Limited, abbreviated as VPB FC (Brand FE CREDIT) in February, 2015.  With nearly 14,000 current employees, FE CREDIT has served more than 2,000,000 customers and cooperated with over 3,500 partners at over 5,000 POS in 63 provinces nationwide. Towards sustainable development and a stronger competitive establishment among retail landscape, in early March 2015, FE Credit officially launched a new active brand identity with the simplified logo inherited the two key colors - Red (symbolizing passion) and Green (symbolizing prosperity) from parent company – VPBank.",,50000000,USD,50000000
Jio Health,https://www.crunchbase.com/organization/jio-health,"Dental, Health Care, Pharmaceutical, Wellness","Ho Chi Minh City, NA - Vietnam, Vietnam","Jio Health tracks vitals, manages medications, and connects with providers and caregivers in meaningful ways.","28,888",Active,2016-01-01,year,,,,,For Profit,https://www.jiohealth.com/,"Jio Health tracks vitals, manages medications, and connects with providers and caregivers in meaningful ways. It seamlessly connects with fitness and wearable devices so users can access all of their data in one place. It facilitates healthcare delivery by managing personal health profiles and the sharing of medical data to healthcare providers.",Early Stage Venture,27726020,USD,27726020
Vietcetera Media,https://www.crunchbase.com/organization/vietcetera,"Advertising, Internet","Ho Chi Minh City, NA - Vietnam, Vietnam",Vietcetera Media is a publishing company that provides a global perspective of Vietnam's contemporary culture.,"29,141",Active,2016-08-01,month,,,,,For Profit,https://vietcetera.com,Vietcetera Media - Understanding Vietnam,Early Stage Venture,2700000,USD,2700000
LOGIVAN,https://www.crunchbase.com/organization/logivan,"Logistics, Railroad, Software, Transportation","Hanoi, NA - Vietnam, Vietnam",LOGIVAN is a web platform that helps businesses find trucks quickly and easily.,"33,382",Active,2017-01-01,year,,,,,For Profit,http://www.logivan.com/,"LOGIVAN (LOGIVAN Technologies Pte) is a Vietnamese technology company. LOGIVAN develops technology solutions to help businesses find and manage trucks online. LOGIVAN connects a network of thousands of reliable trucks to meet all vehicle needs, anytime, anywhere at competitive prices. LOGIVAN 's mission is to digitize the trucking industry, creating a technological foundation to provide a high-quality automatic matching system, saving Logistics costs for all Vietnamese businesses, increasing supply chains Through connecting fragmented and fragmented logistics facilities, improving the capacity of logistics service providers through technology. LOGIVAN was established to create a solution for the big problem of road transport: How can there be no empty container trucks and vans after delivery? Current situation of Logistics costs in Vietnam is 3 times higher than Singapore. There are many ineffective, costly activities in Vietnam's transport industry, and the purpose of LOGIVAN is to address that crucial point.",,7850000,USD,7850000
Onpoint Ecommerce,https://www.crunchbase.com/organization/onpoint-ecommerce,"Digital Marketing, E-Commerce, Internet","Ho Chi Minh City, NA - Vietnam, Vietnam","Onpoint E-commerce is an E-commerce solution partner, helping brands become more successful in Vietnam and SEA region.","36,450",Active,2016-12-01,day,,,,,For Profit,http://onpoint.vn/,"Onpoint E-commerce is an E-commerce solution partner, helping brands become more successful in Vietnam and SEA region.",Early Stage Venture,58000000,USD,58000000
Go2Joy,https://www.crunchbase.com/organization/appro-mobile,"Android, Apps, Hospitality, Hotel, iOS, Mobile Apps, Travel Accommodations","Ho Chi Minh City, NA - Vietnam, Vietnam",Go2Joy is a mobile O2O platform connecting local hotels & local hotel users in Vietnam.,"36,831",Active,2016-10-24,day,,,,,For Profit,https://go2joy.vn/,"Go2Joy (고투조이) is a mobile O2O platform connecting local hotels & local hotel users in Vietnam. Go2Joy is 1st Hourly/Overnight booking enabled OTA in Vietnam, and No.1 Hourly Hotel Booking app for young Vietnamese with largest user base, largest hourly booking hotel inventory, largest coverage in Vietnam",Early Stage Venture,7199522,USD,7199522
