Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
STEMCELL Technologies,https://www.crunchbase.com/organization/stemcell-technologies-inc,"Biotechnology, Information Technology, Life Science, Training","Vancouver, British Columbia, Canada","STEMCELL Technologies offers scientists a range of products and tools to isolate, culture, and assay cells.","2,769",$1M to $10M,Active,1993-01-01,year,,,,,For Profit,https://www.stemcell.com,"STEMCELL Technologies is a biotechnology company that develops specialty cell culture media, cell isolation systems, and accessory products for life science research. Driven by science and a passion for quality, STEMCELL supports the advancement of scientific research around the world with our catalog of more than 2000 cell biology research tools. STEMCELL Technologies was launched in 1993 when founder and CEO Allen Eaves needed a way to meet the increasing demands for his standardized, cost-effective cell culture media for growing blood-forming stem cells. At the time, Eaves was a hematologist and cancer researcher heading the Terry Fox Laboratories (TFL) and head of clinical hematology at the University of British Columbia in Vancouver, Canada. Unsatisfied with commercially available cell culture reagents, Eaves’ research group at the TFL began making their own hematopoietic stem cell culture media using the highest quality materials they could find. Colleagues also wanted to use this media, and Eaves was able to supplement his research funds by selling culture media to other lab groups. Eventually the demand for the media from researchers around the world warranted building a designated clean room for production. The TFL did not have the funding and instead, Eaves was encouraged to purchase the business and create an independent company. Mortgaging his house and receiving a loan from Western Economic Diversification, Eaves was able to build a clean room and STEMCELL Technologies Inc. was born on July 2, 1993. STEMCELL has become the largest biotech company in Canada and continues to reinvest all profits back into developing products to better support the international research community. As of 2016, the company employs more than 800 people globally, with over one-third of those holding a PhD or MSc, and the majority of employees having a BSc or Engineering degree. A large number of the company’s employees are located in Vancouver, Canada with additional employees and facilities in 11 other countries.",,15000000,USD,15000000
Bausch Health,https://www.crunchbase.com/organization/valeant-pharmaceuticals-international,"Biotechnology, Health Care, Medical, Pharmaceutical","Laval, Quebec, Canada","Bausch Health is a develops and markets medications used in the fields of neurology, dermatology and infectious diseases.","4,119",$1B to $10B,Active,1959-01-01,year,2014-09-26,day,,,For Profit,http://www.bauschhealth.com,"Bausch Health is a global specialty pharmaceutical, consumer health, and medical device company with a focus on branded products for the dermatology, gastrointestinal, and ophthalmology markets. The company reports revenue in four segments: Bausch+Lomb and international (55% of revenue), Salix pharmaceuticals (25%), ortho dermatology (6%), and diversified products (14%), and approximately 13% of revenue is attributable to non-U.S. markets. Bausch is the market leader in consumer visioncare in India and China, and the fourth- largest visioncare company by sales in the United States.",IPO,1800000000,USD,1800000000
Aptose Biosciences,https://www.crunchbase.com/organization/lorus-therapeutics,"Biopharma, Biotechnology, Clinical Trials","Toronto, Ontario, Canada"," Aptose Biosciences is a biopharmaceutical company focused on the discovery, research and development of novel, first-in-class","5,595",$1M to $10M,Active,1986-01-01,day,2004-03-05,day,,,For Profit,https://aptose.com/,"Aptose Biosciences is a biopharmaceutical company focused on the discovery, research and development of novel, first-in-class anticancer therapies with high safety profiles. Through its own discovery efforts, as well as partnering activities,  Lorus is building a portfolio of promising anticancer drugs ranging from discovery and preclinical to clinical-proof-of concept stage.  Lorus seeks suitable partners for subsequent late-stage registration trials and eventual commercialization.",IPO,159150000,USD,159150000
enGene,https://www.crunchbase.com/organization/engene,"Biotechnology, Diabetes, Genetics, Health Care","Vancouver, British Columbia, Canada",enGene is a biotechnology company develops treatment for mucosal diseases through inducing therapeutic proteins of harmful proteins.,"8,582",$10M to $50M,Active,1999-01-01,year,2023-11-01,day,,,For Profit,https://www.engene.com/,"enGene is a developer of a mucosal immunotherapy platform designed to treat inflammatory bowel disease and diabetes. The company's mucosal immunotherapy platform has developed a flexible nucleotide delivery technology targeting mucosal tissues to treat numerous prevalent, chronic diseases via the induction or suppression of protein expression levels, enabling physicians and doctors to regenerate physiologic, meal-regulated insulin secretion from the gut of subjects with diabetes.",IPO,55750000,USD,55750000
Xenon Pharmaceuticals,https://www.crunchbase.com/organization/xenon-pharmaceuticals,"Biopharma, Biotechnology, Genetics, Health Care, Medical, Pharmaceutical","Burnaby, British Columbia, Canada",Xenon Pharmaceuticals operates as a neurology-focused biopharmaceutical company.,"12,158",$1M to $10M,Active,1996-01-01,year,2014-11-05,day,,,For Profit,http://www.xenon-pharma.com,"Xenon Pharmaceuticals is a biopharmaceutical company focused on the development of novel medicines through the application of our proprietary discovery platform, which we refer to as Extreme Genetics. Our product candidates are based on genetic insights derived from our research of families where individuals exhibit severe traits or phenotypes. They apply their expertise to predict which phenotypes are caused by single-gene defects. By identifying and characterizing the single-gene defects responsible for such severe phenotypes, they gain valuable insights into their function in human biology and their potential as drug targets. Given that these targets are often involved in diseases beyond the rare genetic disorders in which they are first identified, they are developing proprietary product candidates to treat both orphans as well as more prevalent diseases",IPO,1287587375,USD,1287587375
Bellus Health,https://www.crunchbase.com/organization/bellus-health,"Biotechnology, Clinical Trials, Health Care, Wellness","Laval, Quebec, Canada","BELLUS Health is focused on developing drugs for rare diseases, starting with conditions that affect the kidneys.","14,071",$10M to $50M,Active,1993-06-17,day,2012-08-27,day,,,For Profit,http://bellushealth.com,"BELLUS Health is focused on developing drugs for rare diseases, starting with conditions that affect the kidneys. The lead program KIACTA™, a novel drug candidate, is in data review after announcing on June 20, 2016 top-line results from its Phase 3 study for the treatment of AA amyloidosis, a rare disease resulting in renal dysfunction that often leads to dialysis and death. BELLUS Health is partnered with global private equity firm Auven Therapeutics for the development of KIACTA™. KIACTA™ is also being developed as a treatment in a second indication called sarcoidosis, a rare, potentially fatal inflammatory condition that affects the lungs. An investigational new drug application (IND) for a Phase 2/3 clinical study is expected to be filed with the U.S. Food and Drug Administration in 2016. In addition, BELLUS Health is developing Shigamab™, an antibody treatment for Hemolytic Uremic Syndrome caused by Shiga toxin-producing E. coli (sHUS). sHUS often leads to dialysis, chronic kidney disease and in some cases death, particularly in children. Shigamab™ pre-clinical studies for the treatment of sHUS are currently underway.  BELLUS Health’s pipeline also includes a research-stage project for the treatment of AL amyloidosis, a rare disease in which amyloid protein builds up and causes dysfunction in various parts of the body.",M&A,362451563,USD,362451563
Theratechnologies,https://www.crunchbase.com/organization/theratechnologies,"Biotechnology, Pharmaceutical, Therapeutics","Montréal, Quebec, Canada","Theratechnologies is a a bio-pharmaceutical company, engages in the discovery of therapeutic products for commercialisation.","15,830",$1M to $10M,Active,1993-01-01,year,2011-06-15,day,,,For Profit,http://www.theratech.com,"Theratechnologies Inc., a biopharmaceutical company, engages in the discovery of therapeutic products for commercialization. The company's proprietary technologies include Long Acting Peptides, a peptide stabilization technology that increases the target protein's resistance to enzymatic degradation. Its lead product is tesamorelin, which completed its phase III clinical trial for the treatment of HIV-associated lipodystrophy and is in phase II clinical trials for the treatment of mild cognitive impairment and growth hormone deficient abdominal obesity. The company also develops Acute kidney injury, a preclinical stage product. It has a license agreement with PDC Biotech GmbH to use the antagonists of the prostaglandin F2a receptor in pre-term labor and primary dysmenorrheal; and OctoPlus N.V. to develop and commercialize GLP-1 portfolio of analogues. The company also has a collaboration and licensing agreement with EMD Serono, Inc. for the treatment of excess abdominal fat in HIV-infected patients with lipodystrophy. The company was founded in 1993 and is headquartered in Montreal, Canada.",IPO,72500000,USD,72500000
SunOpta,https://www.crunchbase.com/organization/sunopta-bioprocess,"Biotechnology, Food and Beverage, Food Processing, Manufacturing, Plant-Based Foods, Web Design","Brampton, Ontario, Canada","SunOpta specializes in the design, construction, ownership, and operation of biomass conversion equipment and facilities.","17,183",$100M to $500M,Active,1973-01-01,year,2003-11-25,day,,,For Profit,https://www.sunopta.com/,"SunOpta specializes in the design, construction, ownership, and operation of biomass conversion equipment and facilities. Its technologies focus on the development of processes for developing cellulosic ethanol, cellulosic butanol, xylitol, and dietary fiber for human consumption, fuel generation, and biomass solutions. It was founded in 1973 and is headquartered in Brampton, Ontario.",M&A,393454433,USD,393454433
Arbutus Biopharma,https://www.crunchbase.com/organization/arbutus-biopharma,"Biopharma, Biotechnology, Genetics, Health Care, Medical, Pharmaceutical","Burnaby, British Columbia, Canada",Arbutus Biopharma Corporation is a publicly-traded biopharmaceutical company.,"18,619",$1M to $10M,Active,1992-01-01,day,2010-11-26,day,,,For Profit,http://arbutusbio.com,"Arbutus Biopharma Corporation is a publicly-traded biopharmaceutical company dedicated to discovering, developing and commercializing a cure for patients suffering from chronic hepatitis B infection, a disease of the liver caused by hepatitis B virus (HBV). They believe that Arbutus' comprehensive HBV pipeline of drugs and drug candidates optimally positions us to transform the HBV treatment landscape and to capitalize on the HBV global market opportunity.   They  are developing a portfolio of drug candidates with multiple mechanisms of action that They believe will result in a combination therapy to cure HBV. Specifically, They seek to effect a cure by targeting the three pillars necessary to develop a curative regimen for HBV. This includes suppressing HBV replication within liver cells, stimulating and reactivating the body’s immune system so that it can mount an effective defense against the virus and eliminating the reservoir of viral genomic material known as covalently closed circular DNA, or cccDNA, that is the source of HBV persistence.",IPO,141975763,USD,141975763
BioVectra,https://www.crunchbase.com/organization/biovectra,"Biotechnology, Health Care, Manufacturing, Therapeutics","Charlottetown, Prince Edward Island, Canada",BioVectra offers contract development and manufacturing capacity for intermediates and active pharmaceutical ingredients.,"21,293",$10M to $50M,Active,1970-01-01,year,2019-09-10,day,,,For Profit,http://www.biovectra.com/,"BioVectra manufactures ingredients for global pharmaceutical and biotechnology clients offering therapeutics used in the treatment of cancer, kidney disease, cardio-vascular disease, multiple sclerosis, and many other serious diseases. With over 40 years experience, the company is proficient in synthetic organic chemistry, fermentation of chemical and biologic molecules, downstream processing, MPEG production, and conjugation chemistry. BioVectra was founded on 1970 and is based in Charlottetown, Canada.",M&A,77300000,USD,77300000
