Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Locofy,https://www.crunchbase.com/organization/locofy,"Artificial Intelligence (AI), Enterprise Software, Internet, Software","Singapore, Central Region, Singapore",Locofy provides a service that converts designs into code.,"3,210",Active,2021-01-01,year,,,,,For Profit,https://www.locofy.ai/,"Locofy provides a service that converts designs into code. Locofy.ai aims to take away the menial work of engineers without adding complexity i.e. automating 50% or more of the current workflow starting with frontend code, allowing teams to convert their designs to code and an interactive and responsive live prototype (that runs on code), without writing a single line of code.",Seed,7250000,USD,7250000
Maverick Protocol,https://www.crunchbase.com/organization/maverick-protocol,"Blockchain, Cryptocurrency","Singapore, Central Region, Singapore","The DeFi infrastructure built to facilitate the most liquid markets, powered by Maverick AMM.","3,697",Active,2021-01-01,year,,,,,For Profit,https://www.mav.xyz/,"The DeFi infrastructure built to facilitate the most liquid markets, powered by Maverick AMM.",,18000000,USD,18000000
SkyArk,https://www.crunchbase.com/organization/skyark-chronicles,"Blockchain, Gaming, Non-Fungible Token (NFT)","Singapore, Central Region, Singapore",SkyArk Chronicles is a Triple-A fantasy JRPG game with interoperable NFTs.,"3,965",Active,2021-01-01,year,,,,,For Profit,https://www.skyarkchronicles.com,SkyArk Chronicles is a Triple-A fantasy JRPG game with interoperable NFTs and a free-to-play blockchain game that lets players own or trade in-game assets.,Seed,15000000,USD,15000000
RARIO,https://www.crunchbase.com/organization/rario,"Blockchain, Marketplace, Non-Fungible Token (NFT), Sports","Singapore, Central Region, Singapore",RARIO is a non-fungible token (NFT) marketplace that makes the digital collectible revolution accessible to every fan.,"4,482",Active,2021-01-01,year,,,,,For Profit,https://rario.com/,RARIO is a non-fungible token (NFT) marketplace that makes the digital collectible revolution accessible to every fan. The company was founded in 2021 and is based in Singapore.,,120000000,USD,120000000
Caravelle International Group,https://www.crunchbase.com/organization/caravelle-international-group,"Marine Technology, Shipping","Singapore, Central Region, Singapore",Caravelle Group is a global ocean technology company that focuses on international shipping and CO-Tech solutions.,"4,662",Active,2021-01-01,year,2022-12-19,day,,,For Profit,http://www.caravelleglobal.com,Caravelle Group is a global ocean technology company that focuses on providing international shipping services and carbon-neutral solutions for wood desiccation.,IPO,66800000,USD,66800000
Aethir,https://www.crunchbase.com/organization/aethir-c6fc,"Artificial Intelligence (AI), Gaming, Information Technology","Singapore, Central Region, Singapore",Aethir's offers The Decentralized Cloud Infrastructure framework that frees the AI and gaming industries macro trajectory,"5,260",Active,2021-01-01,year,,,,,For Profit,https://www.aethir.com,"Aethir’s Decentralized Cloud Infrastructure (DCI) is the framework that unbinds the macro trajectory of the AI and gaming industry, from the walled garden resources of the incumbent cloud hegemony.Aethir's make complex cloud resources more accessible.",Seed,9000000,USD,9000000
Particle Network,https://www.crunchbase.com/organization/particle-network,"Blockchain, Developer Tools, Information Technology, Infrastructure, Internet, Web Design, Web Development, Web3","Singapore, Central Region, Singapore",A full-stack middleware platform for Web3 mass adoption.,"5,271",Active,2021-01-01,year,,,,,For Profit,https://particle.network,"Particle Network is a comprehensive SDK that empowers businesses to effortlessly integrate web3 capabilities using familiar web2 authentication methods (email, social) to enhance user experience on their platforms. Our approach simplifies the intricacies of decentralized networks and eliminates the need for private keys, dedicated browsers, or additional software installations. Offering top-tier security and dependability, Particle Network ensures a seamless transition as businesses expand their web3 presence, all achievable with minimal lines of code. At Particle Network, our vision is to accelerate the mass adoption of web3 technology by assisting organizations in overcoming obstacles and unlocking the potential of decentralized ecosystems.",Seed,8800000,USD,8800000
GDMC,https://www.crunchbase.com/organization/gdmc,"Biopharma, Biotechnology, Manufacturing, Pharmaceutical","Bukit Merah, Central Region, Singapore",GDMC is a pharmaceutical company that engages in manufacturing and designing genetic medicines.,"5,538",Active,2021-01-01,year,,,,,For Profit,https://www.gdmc.bio,,Early Stage Venture,21000000,USD,21000000
StarryNift,https://www.crunchbase.com/organization/starrynift,"Art, Auctions, Cryptocurrency, Digital Entertainment, Gaming, Metaverse","Singapore, Central Region, Singapore",Gamified massive creation platform & launchpad for fun digital collectibles,"8,052",Active,2021-01-01,year,,,,,For Profit,https://starrynift.art/,"StarryNift is the first integrated gamified platform and one-stop shop that provides creation, incubation, auction, and transaction for NFT collectibles. The mission is to empower creativity by technology and democratize value appreciation by crypto as DAO. Our vision is to unlock new ways for creators, collectors, and investors to explore the metaverse of Game+Art+Defi+NFT ingredients.",,10000000,USD,10000000
Oasys,https://www.crunchbase.com/organization/oasys-pte-ltd,"Blockchain, Gaming, Video Games","Singapore, Central Region, Singapore",Oasys is a Blockchain designed exclusively for the gaming industry.,"8,174",Active,2021-01-01,year,,,,,For Profit,https://www.oasys.games/,Oasys is a Blockchain designed exclusively for the gaming industry.,,20000000,USD,20000000
Stader Labs,https://www.crunchbase.com/organization/stader-labs,"Asset Management, Blockchain, Financial Services, FinTech","Singapore, Central Region, Singapore",Stader Labs is building decentralized financial protocols and applications for efficient stake management on public blockchain networks.,"10,850",Active,2021-01-01,year,,,,,For Profit,https://staderlabs.com/,"Stader Labs is building decentralized financial protocols and applications for efficient stake management on public blockchain networks. It aims to be the distribution layer of staking while building protocols and products which enhance the security, decentralization, liquidity, governance of some of the major DPoS blockchain networks like Ethereum, Terra, Polygon, and Solana.",,16500000,USD,16500000
Enjinstarter,https://www.crunchbase.com/organization/enjinstarter,"Blockchain, Gaming, Metaverse","Singapore, Central Region, Singapore",Enjinstarter is a blockchain gaming launchpad focused on growing the Enjin ecosystem and the metaverse.,"11,042",Active,2021-01-01,year,,,,,For Profit,https://enjinstarter.com/,Enjinstarter is a blockchain gaming launchpad focused on growing the Enjin ecosystem and the metaverse.,Early Stage Venture,10000000,USD,10000000
Partior,https://www.crunchbase.com/organization/partior,"Blockchain, Financial Services, FinTech","Singapore, Central Region, Singapore",Partior is a blockchain platform for payments clearing and settlement services.,"11,238",Active,2021-01-01,year,,,,,For Profit,https://www.partior.com,"Partior platform uses blockchain and distributed ledger technology to make digital payments more efficient, reliable, and secure for financial institutions worldwide. This platform takes advantage of programmability, immutability, and traceability, and aims to address cross-border and multi-currency payments issues.",Early Stage Venture,31000000,USD,31000000
Fusionist,https://www.crunchbase.com/organization/fusionist,"Gaming, Graphic Design","Singapore, Central Region, Singapore",Fusionist is a mech-themed gaming company that offers a variety of gameplay options and beautiful graphics.,"11,553",Active,2021-01-01,year,,,,,For Profit,https://www.fusionist.io/,Fusionist is a mech-themed gaming company that offers a variety of gameplay options and beautiful graphics.,Seed,7100000,USD,7100000
Circular,https://www.crunchbase.com/organization/circular-0280,"E-Commerce, Subscription Service","Singapore, Central Region, Singapore",Subscription e-commerce,"11,761",Active,2021-01-01,year,,,,,For Profit,https://nowcircular.com,"Circular is delightful subscription e-commerce, with sustainability at its heart. By focusing on customer experience while reducing waste and underutilization, we provide subscriptions to premium devices at affordable prices and with unmatched flexibility.  Our mission is simple: to make subscribing to devices superior to owning them in every way, and thereby to accelerate the transition to a waste-free circular economy. At Circular, being a great place to work is anything but an afterthought. We are serious about crafting a place where adults work and learn together and every day is filled with meaning, collaboration, joy, and (most of all) impact.",Seed,7600000,USD,7600000
ultiverse,https://www.crunchbase.com/organization/ultiverse,"Blockchain, Gaming, Virtual Reality, Web3","Midview City, Central Region, Singapore",Ultiverse is working on connecting web3 with a VR-compatible virtual world that will be home to the first AAA blockchain game.,"11,802",Active,2021-01-01,year,,,,,For Profit,https://www.ultiverse.io/,Ultiverse is working on connecting web3 with a VR-compatible virtual world that will be home to the first AAA blockchain game.,,18500000,USD,18500000
beoble,https://www.crunchbase.com/organization/beoble,"Blockchain, Cryptocurrency, Developer APIs, Information Technology, Social Network, Software","Singapore, Central Region, Singapore",The chat solution for Web3 people,"12,723",Active,2021-01-01,year,,,,,For Profit,https://www.beoble.io/,"beoble is a communication infrastructure and ecosystem that allows users to chat between wallets. Our product includes a web-based chat app as well as a toolkit that allows Dapps to integrate. Our chat app supports most major wallets, and all messages are end-to-end encrypted.",Seed,2064656,USD,2064656
Cheelee,https://www.crunchbase.com/organization/cheelee,"Blockchain, Media and Entertainment, Social Media, Video Streaming, Web3","Singapore, Central Region, Singapore",Cheelee is a SocialFi short video content platform that rewards users for watching a feed.,"13,551",Active,2021-01-01,year,,,,,For Profit,https://cheelee.io,"Cheelee is the first short video platform that rewards users just for watching the feed. Cheelee is not just another social media platform; it's a groundbreaking revolution in the way we consume and interact with digital content. As well as, users earn, spend and transact with each other without leaving the app by utilizing blockchain technologies.",,21750000,USD,21750000
