Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Trinity Biotech,https://www.crunchbase.com/organization/trinity-biotech,"Biotechnology, Health Diagnostics","Bray, Wicklow, Ireland",Trinity Biotech has actively pursued the aim of becoming a leading player in the international diagnostics.,"6,687",$100M to $500M,Active,1992-01-01,year,1992-10-30,day,,,For Profit,http://trinitybiotech.com,Trinity Biotech has actively pursued the aim of becoming a leading player in the international diagnostics industry. A combination of strong organic growth and a progressive acquisition-led strategy has seen the company assemble an impressive portfolio of over 400 products to date.,IPO,241760000,USD,241760000
SOMAÍ Pharmaceuticals,https://www.crunchbase.com/organization/somaipharma,"Biopharma, Biotechnology, Cannabis, Pharmaceutical","Dublin, Dublin, Ireland",SOMAÍ Pharmaceuticals is a pharmaceutical and biotech company that specializes in cannabinoid-containing pharmaceutical medicines.,"7,500",$10M to $50M,Active,2019-01-24,day,,,,,For Profit,http://www.somaipharma.eu,"SOMAÍ Pharmaceuticals is a pharmaceutical and biotech company that specializes in cannabinoid-containing pharmaceutical medicines. Somai emphasizes scientific pharmacology applications with EU-GMP standards to deliver treatments to the endocannabinoid system, effectively, and with consistency across all markets. The company extracts and purifies primary bulk APIs of THC, THCa, CBD, CBN, and other cannabinoids from the finest chosen cannabis flower.",Early Stage Venture,22300000,EUR,23868326
Mainstay Medical,https://www.crunchbase.com/organization/mainstay-medical,"Biotechnology, Emergency Medicine, Health Care, Medical, Medical Device","Dublin, Dublin, Ireland",Mainstay Medical is a global medical device company that is developing devices to deliver innovative therapies.,"15,064",Less than $1M,Active,2008-01-01,year,2014-04-29,day,,,For Profit,http://www.mainstay-medical.com,"Mainstay Medical is a global medical device company headquartered in Dublin, Ireland and with operations in the United States and Australia. They are partnering with scientists and clinical experts to deliver innovative therapies for the large underserved population of people with debilitating chronic low back pain.",IPO,270437457,USD,270437457
Endo Pharmaceuticals Inc,https://www.crunchbase.com/organization/endo-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Ballsbridge, Dublin, Ireland",Endo International plc is a global specialty pharmaceutical company focused on improving patients’ lives while creating value.,"17,205",$500M to $1B,Active,1997-01-01,year,2014-03-14,day,,,For Profit,http://www.endo.com,"Endo Health Solutions Inc. provides specialty healthcare solutions in the United States and internationally. The company’s Endo Pharmaceuticals segment offers branded prescription products,",IPO,295000000,USD,295000000
Carrick Therapeutics,https://www.crunchbase.com/organization/carrick-therapeutics,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Dublin, Dublin, Ireland",Carrick Therapeutics is a developer of cancer therapeutics intended to transform the way cancer is treated.,"17,386",$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.carricktherapeutics.com/,"Carrick Therapeutics is a developer of cancer therapeutics intended to transform the way cancer is treated. The company's therapeutics target molecular pathways that drive the most aggressive and resistant forms of cancer using innovative mechanisms, enabling cancer patients to get their predictive biomarkers detected and get their treatments started from early stage.",Late Stage Venture,155000000,USD,155000000
Neuromod Devices,https://www.crunchbase.com/organization/neuromod-devices,"Biotechnology, Clinical Trials, Health Care, Medical, Medical Device","Dublin, Dublin, Ireland",Neuromod Devices has developed LENIRE® (www.lenire.com) a non-invasive bimodal neuromodulation therapy for tinnitus.,"18,607",$1M to $10M,Active,2010-01-01,year,,,,,For Profit,http://neuromoddevices.com,"Neuromod is a medical device company formed to advance the science of bi-modal neuromodulation. We are committed to delivering treatments that significantly reduce the suffering of underserved patient populations who live with chronic and debilitating conditions globally. Our goal is to design products that empower patients to take control of their own treatment, delivering targeted therapies that integrate seamlessly into a modern lifestyle. Neuromod has developed and patented a bi-modal neuromodulation technology that it is evaluating for neurological disorders including chronic tinnitus, a condition affecting 10% of the adult population and commonly known as 'ringing in the ears'.",Early Stage Venture,55500000,EUR,62253078
Avadel Pharmaceuticals,https://www.crunchbase.com/organization/avandel,"Biotechnology, Information Technology, Manufacturing, Pharmaceutical","Dublin, Dublin, Ireland",Avadel is a biopharmaceutical company focused on transforming medicines to transform lives.,"21,313",$10M to $50M,Active,1990-01-01,year,1996-06-07,day,,,For Profit,https://www.avadel.com/,"Avadel Pharmaceuticals plc (Nasdaq:AVDL) is a specialty pharmaceutical company that seeks to develop differentiated pharmaceutical products that are safe, effective and easy to take through formulation development, by utilizing its proprietary drug delivery technology and through in-licensing / acquiring new products; ultimately, helping patients adhere to their prescribed medical treatment and see better results. Avadel’s current portfolio of products and product candidates focuses on the urology, central nervous system (CNS) / sleep, and hospital markets. The Company is headquartered in Dublin, Ireland with operations in St. Louis, Missouri and Lyon, France. For more information, please visit www.avadel.com.",M&A,190000000,USD,190000000
Strongbridge Biopharma,https://www.crunchbase.com/organization/cortendo,"Biotechnology, Health Care, Pharmaceutical","Dublin, Dublin, Ireland",Strongbridge Biopharma is a clinical and financial foundation to connect patients with new treatments for rare diseases.,"21,707",$1M to $10M,Active,1996-01-01,year,2015-10-16,day,,,For Profit,http://www.strongbridgebio.com/,"Strongbridge Biopharma’s primary focus has been to build its franchise around rare endocrine disorders, which includes product candidates for the treatment of endogenous Cushing’s syndrome and acromegaly, two rare diseases with a high unmet need for innovative treatment options. Given the well-identified and concentrated prescriber base addressing its target markets, the Company intends to use a small, focused sales force to market its products, if approved, in the United States, European Union and other key global markets. The Company intends to identify and in-license or acquire products or product candidates that would be complementary to its existing rare endocrine franchise or that would form the basis for new rare disease franchises.",M&A,196500000,USD,196500000
Amarin,https://www.crunchbase.com/organization/amarin,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Ballsbridge, Dublin, Ireland",Amarin Corporation is a clinical-stage biopharmaceutical company focused on improving the treatment of cardiovascular disease.,"22,322",$100M to $500M,Active,1991-01-01,year,1993-04-08,day,,,For Profit,http://www.amarincorp.com,"Amarin Corporation is a clinical-stage biopharmaceutical company focused on improving the treatment of cardiovascular disease. Amarinâ€™s lead candidate, AMR101, is currently being studied in two concurrently run pivotal Phase 3 trials. These trials are investigating the efficacy of AMR101 in lowering triglycerides in patients with very high triglycerides (>500mg/dl) and in patients with mixed dyslipidemia who are taking statins. Amarinâ€™s cardiovascular programs capitalize on Amarin's expertise in the field of lipid science and the known therapeutic benefits of essential fatty acids in treating cardiovascular disease. Amarin is headquartered in Dublin, Ireland, and has its research and development headquartered in Mystic Connecticut, USA.  Amarin is listed in the U.S. on NASDAQ (ticker: AMRN)",IPO,122822618,USD,122822618
Aerogen,https://www.crunchbase.com/organization/aerogen,"Biotechnology, Health Care, Manufacturing, Medical","Galway, Galway, Ireland",Aerogen is a medical device and drug delivery company.,"23,452",$50M to $100M,Active,1997-01-01,year,,,,,For Profit,http://www.aerogen.com,"Aerogen is an innovative medical device and drug delivery company specialising in the design, manufacture and marketing of aerosol drug delivery systems, aimed  at the critical care respiratory market. Aerogen’s patented Vibronic aerosol technology is an integral part of its drug delivery systems, the technology allows drugs to be nebulized into a fine particle mist that can be absorbed through the lungs while maintaining drug integrity. Founded in Galway in 1997, Aerogen has grown to become the global leader in acute care aerosol drug delivery equipment.  Today its Aerogen:registered: products play a critical role in treating patients on life-support ventilation in over 65 countries worldwide, and in the home care setting globally. Aerogen has a strong scientific focus with over 95% of its employees being graduates and post-graduates, primarily from Science and Engineering disciplines. Aerogen is an award winning company that continues to invest heavily in R&D, product design and development to evolve and extend its product range. Strategic alliances with leading Irish University research institutes enable Aerogen to leverage home-grown scientific excellence to facilitate its rapid growth.",Private Equity,39400000,EUR,44186186
