Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Bioeutectics,https://www.crunchbase.com/organization/bioeutectics,"Biotechnology, GreenTech, Product Design, Sustainability","Mendoza, Mendoza, Argentina","Bioeutectics is revolutionising the solvent industry, turning it into one that is natural and biodegradable.","9,791",$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://www.bioeutectics.com/,"Bioeutectics is making industrial products and processes more environmentally friendly by supplying high-performance, natural, and long-lasting solvents. Bioeutectics mimics the way plants create their own solvents utilizing 100% renewable resources using eutectic technology. The company replaces petrochemical solvents used in industrial processes that have previously been used. By producing green eutectic solvents, they controlled the market with natural alternatives.",Seed,2300000,USD,2300000
Eurofarma,https://www.crunchbase.com/organization/eurofarma,"Biotechnology, Health Care, Medical, Pharmaceutical","São Paulo, Sao Paulo, Brazil",Eurofarma is a Brazilian multinational pharmaceutical company.,"14,949",$1M to $10M,Active,1972-01-01,year,,,,,For Profit,https://www.eurofarma.com.br/en/,"Eurofarma is the first Brazilian multinational pharmaceutical company, founded in 1972, present in Latin America. It operates in all major pharmaceutical segments, occupying the 2nd position in the most prescribed laboratories ranking by the Brazilian medical community and is among the Top 4 generic drug laboratories in the country. Holder of a broad range of products, it also holds licenses and strategic partnerships for the promotion and marketing of third party’s products. The company's sales added up to around US$ 1 billion in 2014, reaching a 20% growth over the previous year. Licenses accounted for 10% of the total, approximately. Eurofarma has the largest medical sales force in Brazil (about 2,000 representatives) and is considered one of the best companies to work for, according to key publications. The company keeps its own operations in 15 countries, has over 10 manufacturing plants strategically located and an ambitious internationalization plan with growing investment in the R&D area.",,249619454,USD,249619454
Braskem,https://www.crunchbase.com/organization/braskem,"Biotechnology, Chemical, Commercial, Industrial, Manufacturing, Plastics and Rubber Manufacturing","São Paulo, Sao Paulo, Brazil",Braskem operates in the chemical and petrochemical industry that produces biopolymer.,"17,426",$1B to $10B,Active,1986-01-01,year,1998-12-24,day,,,For Profit,http://www.braskem.com.br/usa,"Braskem operates in the chemical and petrochemical industry and plays a significant role in other production chains that are essential to economic development. Braskem is the only integrated first- and second-generation petrochemical producer of thermoplastic resins in Brazil. This position translates into competitive advantages, such as production scale and operating efficiency. In the U.S. and Europe, Braskem produces second generation material. Created in August 2002 by the merger of six companies from the Odebrecht Group and the Mariani Group, today Braskem is the largest petrochemical company in the Americas and the world's leading biopolymer producer. Braskem produces polyethylene (PE), polypropylene (PP) and polyvinyl chloride (PVC) resins, as well as basic petrochemicals such as ethylene, propylene, butadiene, chlorine, benzene, toluene, etc. First-generation producers make basic petrochemicals, such as ethylene and propylene, using naphtha, natural gas and ethane as feedstock. These compounds are essential to the second generation, which involves the production of thermoplastic resins (PE, PP and PVC), which are then used by third-generation producers, i.e., plastics converters.",IPO,1000000000,USD,1000000000
Agriprotein,https://www.crunchbase.com/organization/agriprotein,"Agriculture, Biotechnology, Food and Beverage, Recycling, Service Industry","Cape Town, NA - South Africa, South Africa",Agriprotein specializes in nutrient recycling to create sustainable sources of protein for the mono-gastric animal feed industry.,"24,923",$10M to $50M,Active,2008-01-01,year,,,,,For Profit,http://www.agriprotein.com/,Agriprotein is an agriTech company that specializes in nutrient recycling to create sustainable sources of protein for the mono-gastric animal feed industry. ,,122500000,USD,122500000
SuperBAC,https://www.crunchbase.com/organization/superbac,"Agriculture, Biotechnology, Sustainability, Water Purification","São Paulo, Sao Paulo, Brazil",SuperBAC is a biotechnological company that offers agricultural solutions for nutritional balance for small and large plants and crops.,"29,352",,Active,1995-01-01,year,,,,,For Profit,http://www.superbac.com.br,"Superbac develop our activities based on the responsible principle of nature self-remediation and create specific microorganism blends to fulfill different needs. We produce concentrated blends on an industrial scale, focusing on formulations which are easy to use and can be applied continually. Founded in 1995, SuperBAC is a biotechnological solution company, focusing on Innovation. Our solutions stimulate sustainability in the production processes in the fields of agribusiness, sanitation, energy, bioremediation, and retail. We have Research and Development centers and units in the United States, Brazil, and Colombia to come up with solutions that are environmentally correct and economically feasible.",Private Equity,300000000,BRL,61969374
Future Cow,https://www.crunchbase.com/organization/future-cow,"Biotechnology, Dairy, Food Processing, Manufacturing, Sustainability","São Paulo, Sao Paulo, Brazil",Future Cow is a Brazilian cellular agriculture startup developing an innovative technology that produces real dairy milk without cows.,"34,621",,Active,2023-03-01,day,,,,,For Profit,http://www.futurecow.com.br,"Future Cow is a Brazilian cellular agriculture startup developing an innovative technology that produces real dairy milk without cows.    Using precise fermentation, we are able to replicate the molecular proteins produced by cows in labs, without any animal cells being taken - just a digitized copy of the cow gene.   Our animal-free milk is molecularly identical to traditional dairy, but with significantly less environmental impact. By producing dairy without the need for traditional farming practices, we are able to address concerns around animal welfare and reduce the total greenhouse gas emissions associated with dairy production.   We believe that our technology represents an exciting intersection of science and food and potentially disrupt the dairy industry, offering consumers a more ethical, sustainable, and tasty alternative to traditional dairy.",Seed,350000,USD,350000
Addis Pharmaceutical Factory,https://www.crunchbase.com/organization/addis-pharmaceutical-factory,"Biotechnology, Health Care, Manufacturing, Pharmaceutical","La Tigra, Chaco, Argentina","Addis Pharmaceutical Factory manufactures high-quality pharmaceutical products such as antibiotics, cardiovascular drugs and much more.","34,770",,Active,1992-01-01,year,,,,,For Profit,http://www.apfethio.com/,"Addis Pharmaceutical Factory manufactures high-quality pharmaceutical products such as antibiotics, cardiovascular drugs and much more. Addis Pharmaceutical Factory (APF) PLC is the largest pharmaceutical manufacturing company headquartered at Adigrat, Tigray regional State of Ethiopia,  898 km away from Addis. The town is 2300 meters above sea level. The plant was constructed and equipped with high tech production facilities. The company has been manufacturing more than 91 high quality pharmaceutical products of different therapeutic categories including Antibiotics, Gastro-intestinal drugs, Central Nervous system drugs, Cardiovascular drugs, anti diabetic agents, Antihistamines & Anti allergic, Antihelminthics, analgesics, Antiprotozoals,Respiratory drugs, dermatologicalsand Minerals & Vitamins and Large volume Parenterals; in various dosage forms. The company has more than nine production lines and fully equipped laboratories as well as utilities capable of producing tablets, capsules, syrups/suspensions, dry powders for reconstitution, injectable vials, liquid injectable ampoules, creams and ointments which can generally be categorized as Non-Lactam products (Tablets, Capsules (General), Syrups/Suspensions, Ampoules (Sterile), Topical Ointments, Creams and Gels) and Lactam products (Vials (Sterile), Capsules and dry powders for reconstitution). The Lactam products are manufactured in dedicated lines, whereas other non-Lactam products are manufactured on a campaign basis in other manufacturing lines. In 2009, the company acquired a second plant located at Akaki/ Kality sub city, Addis Ababa which is dedicated for the manufacturing of large volume Parenterals. The company’s manufacturing processes are designed, directed, regularly monitored and controlled in line with cGMP recommendations, the company’s Quality Manual and directions of local Regulatory Authority. The company has managed to get a GMP certification from the local regulatory authority; Food, medicines and healthcare administration and control authority of Ethiopia, through a Certificate of Competence for Drug Manufacturing Plant.",,42000000,USD,42000000
Puna Bio,https://www.crunchbase.com/organization/puna-bio,"Agriculture, Biotechnology","Buenos Aires, Distrito Federal, Argentina","Puna Bio develops biological inputs for agriculture that increase yields, reduce carbon emissions, and restore degraded soil.","35,373",,Active,2020-01-01,year,,,,,For Profit,http://www.ckapur.com/,"CKapur develops a biological product that specializes in the agricultural sector. It focuses on improving crop nutrition using extremophile microorganisms. It is located in Buenos Aires, Argentina.",Seed,3700000,USD,3700000
Cape Bio Pharms,https://www.crunchbase.com/organization/cape-bio-pharms,"Biopharma, Biotechnology, Environmental Engineering, Genetics, Manufacturing","Cape Town, NA - South Africa, South Africa",Cape Bio Pharms is a bio-research company that offers the production of recombinant proteins in Nicotiana benthamiana plants.,"42,647",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,http://www.capebiopharms.com,"Cape Bio Pharms is a biotech company that develops a plant-based platform for the production of proteins for rapid diagnostic test kits and biomedical research. The company's plans are designed to commercialize biotech for the production of recombinant proteins in tobacco, providing life scientists with a diverse range of premium, moderate, and custom plant-made recombinant proteins with reproducible results.",,900000000,ZAR,61928026
Cellva Ingredients,https://www.crunchbase.com/organization/cellva-ingredients,"Biotechnology, Food and Beverage, Food Processing","São Paulo, Sao Paulo, Brazil","Cellva Ingredients is a biotech firm producing food ingredients and animal fats with GMO-free, animal-free, and nonsynthetic technologies.","46,585",,Active,2022-06-02,day,,,,,For Profit,http://www.cellva.com,"The food market is too complex and big for ""the final solution"". We need a combination of talents, an associative business model, focused in developing food grade ingredients for accelerating their availability through massive brands to the consumers. Consumers wanna have better products at the same price. This is the reason why cellva exists. The solution developed by cellva is a new, state-of-the-art process for the production of pork fat. Our process contemplates the isolation of swine cells and the growth of these cells in a bioprocess with the use of microcarriers so that we have an animal fat ingredient with no sacrifice. cellva's fat is a food grade ingredient. produced with GMO free, animal free and non synthetic ingredients. Patented edible food grade microcarriersa made of vegetables. We are cost effective, end to end.",Seed,2000000,USD,2000000
