Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Gracell Biotechnologies,https://www.crunchbase.com/organization/gracell-biotechnologies,"Biotechnology, Health Care, Medical","Suzhou, Jiangsu, China",Gracell Biotechnologies is a developer of cancer immune therapy designed to treat cancer.,"3,463",$100M to $500M,Active,2017-01-01,year,2021-01-08,day,,,For Profit,https://www.gracellbio.com,"Gracell Biotechnologies is a developer of cancer immune therapy designed to treat cancer. The company's therapy offers cellular therapeutics for the patients suffered from hematological malignancy, solid tumor or degenerative disease, enabling healthcare providers to cure their patients and improve their lives.",IPO,285000000,USD,285000000
Zai Lab,https://www.crunchbase.com/organization/zai-lab,"Biotechnology, Health Care, Pharmaceutical","Shanghai, Shanghai, China","Zai Lab brings transformative medicines for cancer, autoimmune, and infectious diseases to patients in China and around the world.","6,885",$10M to $50M,Active,2014-01-01,year,2017-09-20,day,,,For Profit,https://zailaboratory.com,"Zai Lab is an innovative biopharmaceutical company based in Shanghai focused on bringing transformative medicines for cancer, autoimmune and infectious diseases to patients in China and around the world. Since their founding in 2014, their experienced team has secured partnerships with leading global biopharma companies, generating a broad pipeline of innovative drug candidates. They see theirselves as the trusted partner of choice for global biopharmaceutical companies seeking to access the Chinese market. Leveraging their team’s extensive global drug development expertise, combined with their demonstrated understanding of the pharmaceutical industry, the increasingly favorable clinical and regulatory environment in China and their in-house manufacturing capabilities, they plan to continue to secure relationships with global pharmaceutical companies to further expand their pipeline and foster innovation in China. Their team is passionate about bringing transformative new medicines to patients. Their vision is to become a fully integrated biopharmaceutical company, discovering, developing, manufacturing and commercializing their partner’s and their own products in China and around the world. To that end, they have built manufacturing capabilities to support the clinical and commercial production of their drug candidates in China, and they expect to have further clinical production capabilities in the near future. Their team is planning to establish a specialized commercial team to support marketing of their products in China and beyond, and they are expanding their discovery efforts both internally and through collaborations with leading academic institutions.",IPO,1658310000,USD,1658310000
MGI Tech,https://www.crunchbase.com/organization/mgi-tech,"Biotechnology, Health Care, Life Science, Medical","Shenzhen, Guangdong, China",MGI Tech focuses on developing and promoting advanced life science tools for future healthcare.,"8,557",$50M to $100M,Active,2016-01-01,year,2022-09-09,day,,,For Profit,https://en.mgitech.cn,"MGI Tech is committed to enabling effective and affordable healthcare solutions for all. MGI produces sequencing devices, equipment, consumables and reagents to support life science research, medicine and healthcare. MGI’s multi-omics platforms include genetic sequencing, mass spectrometry and medical imaging. Providing real-time, comprehensive, life-long solutions, its mission is to advance life science tools and lead digital health innovation.",IPO,1200000000,USD,1200000000
Jixing Pharmaceuticals,https://www.crunchbase.com/organization/jixing-pharmaceuticals,"Biotechnology, Health Care, Medical","Shanghai, Shanghai, China",Jixing Pharmaceuticals is a biotechnology company that develops science and medicines for underserved patients.,"9,174",,Active,2019-01-01,year,,,,,For Profit,https://www.jixing.com/,"Jixing Pharmaceuticals is a global biotechnology company that develops and commercializes novel therapeutics to treat medical needs in cardiovascular and ophthalmic diseases. Their asset pipeline includes cardiology, ophthalmology, hypertrophic cardiomyopathy, heart failure, presbyopia, hypertension, and dry eye disease.",Late Stage Venture,162000000,USD,162000000
MAXVAX,https://www.crunchbase.com/organization/maxvax,"Biotechnology, Health Care","Shuangliu, Sichuan, China",MAXVAX aims to provide novel vaccine development and commercialization.,"9,307",,Active,2016-01-01,year,,,,,For Profit,http://www.maxvax.cn,MAXVAX aims to provide novel vaccine development and commercialization.,Late Stage Venture,1100000000,CNY,158764971
Avistone Pharmaceuticals,https://www.crunchbase.com/organization/avistone-pharmaceuticals,"Biotechnology, Oncology","Beijing, Beijing, China",Avistone Pharmaceuticals is a clinical-stage biotechnology company focused on precision oncology therapeutics.,"9,414",$1M to $10M,Active,2011-01-01,year,,,,,For Profit,https://en.avistonebio.com,Avistone Pharmaceuticals is a clinical-stage biotechnology company focused on precision oncology therapeutics.,Early Stage Venture,340686550,USD,340686550
Burning Rock Biotech,https://www.crunchbase.com/organization/burning-rock-biotech,"Biotechnology, Health Care, Medical, Oncology","Guangzhou, Guangdong, China",Burning Rock Biotech focuses on providing individualized cancer treatment guidance for the patients.,"12,315",$1M to $10M,Active,2014-03-01,month,2020-06-12,day,,,For Profit,http://www.brbiotech.com/?English.html,"Burning Rock focuses on providing individualized cancer treatment guidance for the patients. Using medical and bio informatics plus Next-Generation Sequencing (NGS) as the core technologies, the company is committed to offering one-stop solution for clinical and R&D services concerning the genetic testing of individualized cancer treatment. Established in March 2014, Burning Rock is headquartered in Beijing. Its first medical laboratory, ""Guangzhou Burning Rock Medical Examination Institute Co., Ltd."" is situated on Guangzhou International Bio Island which is blessed with a picturesque environment and rich in scientific research deposits. Later it established a R&D center in Shanghai. It occupies over 10,000 ㎡ in total. Burning Rock is committed to guiding the individualistic treatment of tumor patients, centered around NGS and biomedical informatics, with conventional tumor molecular pathology detection as the cornerstone, trying to build one-stop solutions for individualistic treatment clinical detection service and scientific research of tumor.",IPO,193163781,USD,193163781
LianBio,https://www.crunchbase.com/organization/lianbio,"Biopharma, Biotechnology, Pharmaceutical","Shanghai, Shanghai, China",LianBio aims to develop and accelerate availability of paradigm-shifting medicines to patients in China.,"12,988",$10M to $50M,Active,2019-01-01,year,2021-11-01,day,,,For Profit,https://www.lianbio.com/,LianBio’s mission is to catalyze the development and accelerate availability of paradigm-shifting medicines to patients in China and major Asian markets through partnerships that provide access to the best science-driven therapeutic discoveries. LianBio collaborates with world-class partners across a diverse array of therapeutic and geographic areas to build out a pipeline based on disease relevance and the ability to impact patients with transformative mechanisms and precision-based therapeutics.,IPO,310000000,USD,310000000
Adlai Nortye,https://www.crunchbase.com/organization/adlai-nortye,"Biotechnology, Health Care, Oncology, Pharmaceutical","Hangzhou, Zhejiang, China",Adlai Nortye is a clinical-stage biopharmaceutical company that deveops cancer treatments for diverse tumor types.,"13,325",$1M to $10M,Active,2016-01-01,year,2023-09-29,day,,,For Profit,http://en.adlainortye.com,"Adlai Nortye is a global clinical-stage biopharmaceutical company focused on innovative oncology drugs, with its R&D and global clinical operation centers in both China and the United States. With a strategic emphasis on oncology, it has built a global pipeline through collaborations and internal discoveries with more than 10 drug candidates in development.",IPO,293000000,USD,293000000
ProfoundBio,https://www.crunchbase.com/organization/profoundbio,"Biotechnology, Oncology, Therapeutics","Suzhou, Jiangsu, China",ProfoundBio is an oncology biotherapeutics company.,"14,006",$10M to $50M,Active,2018-01-01,year,,,,,For Profit,http://www.profoundbiosz.cn/,ProfoundBio is an oncology biotherapeutics company focused on the development of novel antibody-based therapeutics with curative potential for patients with cancer.,Early Stage Venture,135000000,USD,135000000
