Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Protix,https://www.crunchbase.com/organization/protix-biosystems,"AgTech, Alternative Protein, Animal Feed, Aquaculture, Biotechnology, Farming, Food Processing, Pet","Dongen, Noord-Brabant, The Netherlands",Protix is an industrial-scale producer of quality insect proteins and lipids.,"1,050",$1M to $10M,Active,2009-01-01,year,,,,,For Profit,http://www.protix.eu,Protix is an industrial-scale producer of quality insect proteins and lipids to feed animals and accelerate the transition to a food system in balance with nature.,,227081179,USD,227081179
Qiagen,https://www.crunchbase.com/organization/qiagen,"Biotechnology, Health Care, Health Diagnostics, Precision Medicine","Venlo, Limburg, The Netherlands",QIAGEN provides technologies and products for preanalytical sample preparation and linked molecular assay solutions.,"4,713",$100M to $500M,Active,1986-01-01,year,1996-07-05,day,,,For Profit,http://www.qiagen.com,"QIAGEN provides technologies and products for preanalytical sample preparation and linked molecular assay solutions. QIAGEN also supplies diagnostic kits, tests, and assays for human and veterinary molecular diagnostics.QIAGEN offers its sample and assay consumable products in kit form.",M&A,4000000,USD,4000000
QDI systems,https://www.crunchbase.com/organization/qdi-systems,"Biotechnology, Hardware, Health Care, Medical, Nanotechnology, Sensor","Groningen, Groningen, The Netherlands",QDI systems is a start-up company that develops imaging devices based on quantum dots for medical X-ray applications.,"5,450",,Active,2019-03-13,day,,,,,For Profit,https://qdisystems.com/,"QDI Systems is a startup company that engages in the development of advanced imaging devices for medical purposes, utilizing quantum dot technology for various applications. Their main value proposition is centered around providing user-friendly quantum dot material along with detailed instructions on how to create high-performance devices using it.",Early Stage Venture,6300000,EUR,6791774
ProQR Therapeutics,https://www.crunchbase.com/organization/proqr-therapeutics,"Biotechnology, Genetics, Health Care, Therapeutics","Leiden, Zuid-Holland, The Netherlands",ProQR Therapeutics is a biotech company focused on developments of drugs to treat genetic disorders.,"8,224",$1M to $10M,Active,2012-01-01,year,2014-09-19,day,,,For Profit,https://www.proqr.com/,"ProQR Therapeutics is a biopharmaceutical company. It discovers and develops RNA therapeutics for patients with severe genetic rare diseases such as cystic fibrosis, Leber's congenital amaurosis type 10 and dyastrophic epidermolysis bullosa. The company's main product candidates are QR-010, QR-110, and QR-313. Its product pipeline includes QRX-704, QRX-504, QRX-421, QRX-323 etc.",IPO,359371008,USD,359371008
New Amsterdam Pharma,https://www.crunchbase.com/organization/new-amsterdam-pharma,"Biotechnology, Life Science, Pharmaceutical","Naarden, Noord-Holland, The Netherlands",New Amsterdam is a clinical-stage company focused on the research and development of transformative therapies for cardio-metabolic diseases.,"11,361",$10M to $50M,Active,2019-01-01,year,2022-11-23,day,,,For Profit,https://www.newamsterdampharma.com,NewAmsterdam Pharma is a clinical-stage company focused on the research and development of transformative therapies for cardio-metabolic diseases.,IPO,610971311,USD,610971311
Lava Therapeutics,https://www.crunchbase.com/organization/lava-therapeutics,"Biotechnology, Life Science, Medical, Medical Device","Utrecht, Utrecht, The Netherlands",Lava Therapeutics is a developer of a bispecific antibody platform used to engage gamma-delta T cells for the treatment of cancer.,"11,882",$1M to $10M,Active,2016-01-01,year,2021-03-24,day,,,For Profit,http://www.lavatherapeutics.com/,"Lava Therapeutics is a developer of a bispecific antibody platform used to engage gamma-delta T cells for the treatment of hematological and solid cancers. Its platform creates and develops next-generation γδ T cell engaging bispecific antibodies for the treatment of cancer as well as develop potent, safe, and cost-effective biopharmaceuticals that arm the immune system to recognize and destroy tumor cells that enable doctors to safely channel the immune system's response towards tumors.",IPO,102854807,USD,102854807
Merus,https://www.crunchbase.com/organization/merus,"Biotechnology, Health Care, Medical, Oncology, Therapeutics","Utrecht, Utrecht, The Netherlands",Merus is a biomedical company engaged in the discovery and development of antibody-based biopharmaceuticals.,"12,639",$10M to $50M,Active,2003-01-01,year,2016-05-20,day,,,For Profit,http://www.merus.nl,"Merus B.V., a biomedical company, engages in the discovery and development of antibody-based biopharmaceuticals. It develops Oligoclonics technology that offers a class of human antibodies called Oligoclonics. Oligoclonics is a concept whereby a mixture of various human therapeutic antibodies, directed to a common antigen are produced from a single cell clone.",IPO,438839405,USD,438839405
Leyden Labs,https://www.crunchbase.com/organization/leyden-labs,"Biotechnology, Life Science, Therapeutics","Amsterdam, Noord-Holland, The Netherlands",Leyden Labs provides a platform that targets commonalities of viral families to protect humanity from known and future viruses.,"12,690",$1M to $10M,Active,2020-01-01,year,,,,,For Profit,http://www.leydenlabs.com/,"Leyden Labs aims to help people live their lives to the fullest. Its platform targets commonalities of viral families to protect humanity from known and future viruses. Its portfolio of accessible intranasal product candidates may provide people with the freedom to immediately protect themselves from and prevent the spread of many strains of respiratory viruses, including ones in the influenza and coronavirus families. The Company’s energetic team of world-renown biotechnology veterans and fresh talent is dedicated to thinking differently to free humanity from the burden of respiratory viruses.",Early Stage Venture,187105929,USD,187105929
VectorY,https://www.crunchbase.com/organization/vectory,Biotechnology,"Amsterdam, Noord-Holland, The Netherlands","VectorY is an integrated gene therapy company focused on development of therapeutics for CNS, somatic disorders and muscle diseases.","13,533",$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.vectorytx.com/,"VectorY is a fully integrated gene therapy company specializing in the development of novel therapeutics such as vectorized antibodies for both CNS and somatic disorders, with a particular emphasis on muscle diseases. It combines the therapeutic potential of antibodies and gene therapy to create long-term therapeutic solutions for large disease areas with significant unmet medical need. VectorY was founded in the Amsterdam Science Park in August 2020.",Early Stage Venture,160000000,EUR,175636330
Dutch Ophthalmic Research Center,https://www.crunchbase.com/organization/d-o-r-c-dutch-ophthalmic-research-center-international-b-v,"Biotechnology, Product Research","Zuidland, Zuid-Holland, The Netherlands",D.O.R.C. Dutch Ophthalmic Research Center (International) B.V. a provider of instruments for ophthalmic surgery. ,"13,994",Less than $1M,Active,1983-01-01,year,2023-12-15,day,,,For Profit,https://dorcglobal.com/,D.O.R.C. Dutch Ophthalmic Research Center (International) B.V. a provider of instruments for ophthalmic surgery. ,M&A,80000000,EUR,93750256
