Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Axiata,https://www.crunchbase.com/organization/axiata,"Information Technology, Mobile, Telecommunications","Kuala Lumpur, Kuala Lumpur, Malaysia","Axiata is an Asian telecommunications company focused on high-growth, low penetration emerging markets.","16,307",Active,1992-01-01,year,2008-05-06,day,,,For Profit,http://axiata.com,"Axiata is one of the largest Asian telecommunications companies. Axiata has controlling interests in mobile operators in Malaysia, Indonesia, Sri Lanka, Bangladesh and Cambodia with significant strategic stakes in India and Singapore. In addition, the Malaysian-grown holding company has a stake in mobile telecommunication operations in Thailand.",IPO,1010000000,USD,1010000000
JurisTech,https://www.crunchbase.com/organization/juristech,"Artificial Intelligence (AI), Banking, Financial Services, FinTech, Machine Learning, Software","Kuala Lumpur, Kuala Lumpur, Malaysia","Loan Origination, Debt Collection, AI powered early warning systems, enterprise solutions for banks.","26,504",Active,1997-01-01,year,,,,,For Profit,http://juristech.net/juristech/,"Enterprise software for banks and financial institutions. JurisTech is currently serving more than half the banks operating in Malaysia with loan origination, debt collection, AI powered early warning system and custom solutions. ",,205800000,MYR,49240340
Astro Malaysia Holdings Berhad,https://www.crunchbase.com/organization/astro-malaysia-holdings-berhad,"Broadcasting, Digital Entertainment, Digital Media","Kuala Lumpur, Kuala Lumpur, Malaysia",Astro Malaysia Holdings Berhad is a leading integrated consumer media entertainment group in Malaysia and Southeast Asia.,"31,983",Active,1996-06-01,day,2012-10-25,day,,,For Profit,http://www.astromalaysia.com.my/,"Astro Malaysia Holdings Berhad is a leading integrated consumer media entertainment group in Malaysia and Southeast Asia with operations in 4 key areas of business, namely Pay-TV, Radio, Publications and Digital Media. With a customer base of 4.2 million residential customers or approximately 60% penetration of Malaysian TV households, Astro offers 172 TV channels, including 40 HD channels, delivered via Direct-To-Home satellite TV, IPTV and OTT platforms. Astro provides HD, 3D, PVR, VOD and IPTV services through Astro B.yond and Astro on the Go. Fulfilling its promise to bridge the digital divide for all of Malaysia, Astro introduced NJOI as an entry-level DTH satellite TV service and is the country’s first non-subscription based satellite TV, offering 22 TV and 20 radio channels. Astro Radio includes Malaysia’s highest rated stations across key languages and is available on both terrestrial and digital channels, reaching approximately 12.6 million weekly listeners. Its digital arm is involved in digital publishing, applications and platforms as well as publication of entertainment and lifestyle magazines locally. Astro holds the distinction of the ‘Gold’ award in the Media and Entertainment category at the Putra Brand Awards for 5 consecutive years from 2010 to 2014, including the ‘Brand of the Year’ award in 2012 and the ‘Brand Icon’ award in 2013. Astro’s CSR projects have been recognised by the International Business Awards (IBAs) for the third consecutive year. Astro was named the winner of a Silver Stevie Award in the 2014 IBAs for the Corporate Social Responsibility Program of the Year (Asia, Australia and New Zealand) category for the ‘Astro Kasih Hostel and EkoVillage’ project. In 2013 and 2012, Astro’s ‘Beautiful Malaysia: Longest Underwater Clean Up’ project and ‘Astro Kasih Hostel’ project were awarded with a Silver Stevie® Award respectively. These awards are in recognition of Astro’s efforts to exemplify innovation, quality and strong corporate responsibilities.",IPO,150000000,USD,150000000
Aeon Credit Service,https://www.crunchbase.com/organization/aeon-credit-service,"Credit, Financial Services, Payments","Cheras, Negeri Sembilan, Malaysia",Aeon Credit Service provides payment schemes for the purchase of consumer durables through appointed retail merchants and chain stores.,"34,273",Active,1996-12-06,day,2007-12-12,day,,,For Profit,https://www.aeoncredit.com.my,Aeon Credit Service provides payment schemes for the purchase of consumer durables through appointed retail merchants and chain stores.,IPO,320000000,HKD,41000074
GHL Systems Berhad,https://www.crunchbase.com/organization/ghl-systems-berhad,"Financial Services, Payments, Point of Sale","Kuala Lumpur, Kuala Lumpur, Malaysia",GHL Systems Berhad is a payment service provider.,"34,334",Active,1994-01-01,year,2005-04-08,day,,,For Profit,http://www.ghl.com,"GHL Systems Berhad (""GHL"") is ASEANS's leading payment service provider with key operations in Malaysia, Philippines, Thailand and Australia. GHL provides world-class payment services and solutions encompassing physical, Internet and mobile payments on a sale, rental or transactional basis and is one of the top merchant acquirers in the region.  GHL manages more than 150,000 point of sales in ASEAN that enables credit card, debit card, prepaid contactless payment, loyalty, prepaid top up as well as bill payment collection services. As part of our “Beyond ASEAN” strategy, GHL has also successfully established a client base in more than 20 countries.",IPO,21200000,USD,21200000
Merchantrade,https://www.crunchbase.com/organization/merchantrade,"Financial Services, Mobile Payments, Payments, Transaction Processing","Petaling Jaya, Selangor, Malaysia","Merchantrade develop first-in-the-market cross border,  multi-currency payment solutions by leveraging on cutting-edge technology.","48,931",Active,1997-01-01,year,,,,,For Profit,https://mtradeasia.com/,"Merchantrade develop first-in-the-market cross border,  multi-currency payment solutions by leveraging on cutting-edge technology.",,50000000,MYR,12681067
Khazanah Nasional,https://www.crunchbase.com/organization/khazanah-nasional-berhad,"Finance, Financial Services","Kuala Lumpur, Kuala Lumpur, Malaysia",Focused on late-stage venture and private equity investment in leading firms. Malaysia's leading professional strategic investment fund.,"49,146",Active,1993-01-01,year,,,,,For Profit,http://www.khazanah.com.my,"Khazanah is the strategic investment fund of the Government of Malaysia, with 200+ investment professionals across 6 offices across Asia, North America, and Europe. Khazanah has investments in various sectors such as innovation & technology, power, telecommunications, financial institutions, healthcare, aviation, infrastructure, leisure & tourism, property, creative & media, and education.  Some of Khazanah’s strategic investments include the world’s 2nd largest hospital chain, Southeast Asia’s 5th largest bank, two of Asia’s largest telecommunications groups, and one of Asia’s top 25 airlines. Khazanah’s venture investments include Palantir, Alibaba, SkyScanner, Garena, Blippar, and 500 Startups. Khazanah applies a disciplined investment approach and aims to provide strategic value for all of its investments.",,,,
Qualitas Health,https://www.crunchbase.com/organization/qualitas-health-e831,"Health Care, Hospital, Personal Health","Petaling Jaya, Selangor, Malaysia",Qualitas Health is a medical company that provides healthcare services and solutions for everyone.,"59,036",Active,1997-01-01,year,,,,,For Profit,https://qualitashealth.com.my,"Qualitas Health is a medical company that provides healthcare services and solutions for everyone. It also offers treatments such as outpatient treatment (acute & chronic care), specialist outpatient treatment, diagnostics, pathology, dental care, and therapy and rehabilitation. Across the country, every Qualitas Health clinic upholds the same values. They are able to provide highly accessible medical services while maintaining quality by consistently meeting their targets and goals. Qualitas Health was founded in 1997 and is based in Malaysia.",Early Stage Venture,10000000,USD,10000000
Ain Medicare Sdn Bhd,https://www.crunchbase.com/organization/ain-medicare-sdn-bhd,"Health Care, Manufacturing, Medical","Kota Bharu, Kelantan, Malaysia",Ain Medicare is a manufacturer of reliable and high-quality pharmaceutical products.,"73,458",Active,1993-01-01,year,,,,,For Profit,http://www.ainmedicare.com.my/,"Ain Medicare is a manufacturer of reliable and high-quality pharmaceutical products. Ain Medicare's products include large- and small-volume parenteral, irrigation solutions, hemodialysis concentrates, and peritoneal dialysis solutions. Ain Medicare's products have gained international recognition and are used by both the private and public health care sectors, as well as non-profit healthcare providers in Malaysia and around the world, benefiting millions of people worldwide.",,20000000,MYR,5108557
CMC Engineering Sdn Bhd,https://www.crunchbase.com/organization/cmc-engineering-sdn-bhd,"Construction, Consulting, Energy, Information Technology, Real Estate, Renewable Energy","Ampang, Selangor, Malaysia",CMC Engineering Sdn Bhd is a construction service provider.,"87,460",Active,1996-01-01,year,,,,,For Profit,https://www.cmcgroup.com.my/,"CMC was established in 1996 through a smart partnership between ARY Venture Sdn Bhd and Nippon-Comsys Corporation, Japan. Today, CMC Group has grown to become a leading integrated services and solutions provider for the Public Infrastructure, Info-communication, Power and Energy sectors. The Group has over 20 years of experience in providing comprehensive, multi-disciplined project management services to cover the whole Engineering, Procurement, Construction and Commissioning (EPCC) spectrum.",,10000000,MYR,2419549
