Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
IMU Biosciences,https://www.crunchbase.com/organization/imu-8423,"Biotechnology, Health Care, Life Science, Precision Medicine","London, England, United Kingdom",IMU is a discovery engine mapping the immune system to advance precision medicine.,"3,391",$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://www.imubiosciences.com,IMU is a discovery engine mapping the immune system to advance precision medicine.,Early Stage Venture,11500000,GBP,14653527
CellVoyant,https://www.crunchbase.com/organization/cellvoyant,"Artificial Intelligence (AI), Biotechnology","Bristol, Bristol, City of, United Kingdom",CellVoyant is an AI biotechnology company.,"4,858",,Active,2021-01-01,year,,,,,For Profit,http://www.cellvoyant.com,"CellVoyant is an artificial intelligence biotechnology company with a mission to create novel stem cell-based therapies for chronic diseases. Their technology uses AI-first live cell imaging to predict and optimize stem cell differentiation, to controllably manufacture any cell and tissue in the body at scale.",Seed,7600000,GBP,9592919
sable bio,https://www.crunchbase.com/organization/sable-bio,"Artificial Intelligence (AI), Biotechnology, Public Safety","London, England, United Kingdom",Sable Bio employs artificial intelligence to analyze large amounts of biomedical data in order to test possible drugs for toxicity.,"11,321",,Active,2023-01-01,year,,,,,For Profit,https://sablebio.com,Sable Bio employs artificial intelligence to analyze large amounts of biomedical data to test possible drugs for toxicity. The data is then sent to drug developers to help them make safety judgments.,Seed,1500000,GBP,1882034
Hoxton Farms,https://www.crunchbase.com/organization/hoxton-farms,"Alternative Protein, Biotechnology","London, England, United Kingdom","Based in London, UK, Hoxton Farms is growing cultivated fat as an ingredient for the meat alternatives industry.","12,382",$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://hoxtonfarms.com/,"Based in London, UK, Hoxton Farms is growing real animal fat – without animals. The company combines cell biology and mathematical modelling to produce cultivated fat as an ingredient for the meat alternatives industry.",Early Stage Venture,22500000,GBP,25949289
OXCCU,https://www.crunchbase.com/organization/oxccu,"Biotechnology, Chemical, Chemical Engineering","Oxford, Oxfordshire, United Kingdom","OXCCU develops renewable energy technology with the goal of achieving a circular economy for fuels, chemicals, and plastics.","17,150",$10M to $50M,Active,2021-01-01,year,,,,,For Profit,https://www.oxccu.com,"OXCCU develops renewable energy technology with the goal of achieving a circular economy for fuels, chemicals, and plastics. The technology offered by the company combines carbon dioxide from the atmosphere with hydrogen from water and renewable electricity to produce fuels, chemicals, and biodegradable plastics.",Early Stage Venture,26205398,USD,26205398
MultiOmic Health,https://www.crunchbase.com/organization/multiomic-health,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Therapeutics","London, England, United Kingdom",MultiOmic Health is building a precision therapeutics discovery platform for metabolic syndrome diseases,"17,176",,Active,2021-04-01,month,,,,,For Profit,https://multiomic.health/,MultiOmic Health is an AI-enabled drug discovery (AIDD) start-up focused on metabolic syndrome-related diseases. It partners with carefully selected healthcare providers to source and analyse de-identified patient data and bio-samples. MultiOmic’s MOHSAIC® platform combines integrated multi-omics analysis and computational systems biology modelling with targeted wet laboratory experiments to originate novel precision therapeutic concepts that MultiOmic commercialises via partnerships with established biopharma companies.,Seed,8767209,USD,8767209
Ascend Gene & Cell Therapies,https://www.crunchbase.com/organization/ascend-af3f,"Biotechnology, Consulting, Manufacturing, Therapeutics","Potters Bar, Hertford, United Kingdom",Ascend Gene & Cell Therapies is a model for gene and cell therapy manufacturing.,"17,622",,Active,2021-01-01,year,,,,,For Profit,https://www.ascend-gctx.com,Ascend Gene & Cell Therapies supports manufacturing and process development projects from design through to clinical and commercial scales. They partner with biotechnology teams to embed scalable manufacturing in their operations from the beginning. They respond to customer inquiries by phone and contact form.,Early Stage Venture,132524999,USD,132524999
Complement Therapeutics,https://www.crunchbase.com/organization/complement-therapeutics,"Biotechnology, Medical","London, England, United Kingdom",Complement Therapeutics operates as a preclinical stage company.,"20,187",$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://complementtx.com/,Complement Therapeutics operates as a preclinical stage company. Complement Therapeutics develops a precision medicine diagnostic platform allowing it to stratify patients based on their complement-activation profile with the potential to enable both patient selection and serving as an efficacy biomarker in future clinical studies.,Early Stage Venture,77000000,EUR,84309899
FlexSea,https://www.crunchbase.com/organization/flexsea,"Biotechnology, Packaging Services","London, England, United Kingdom",FlexSea develops novel biomaterials derived from renewable marine resources to replace current primary plastic packaging.,"21,626",,Active,2020-01-01,year,,,,,For Profit,https://flex-sea.com/,FlexSea develops novel biomaterials derived from renewable marine resources to replace current primary plastic packaging.,Seed,4266041,USD,4266041
Laverock Therapeutics,https://www.crunchbase.com/organization/laverock-therapeutics,"Biotechnology, Therapeutics","Stevenage, Herefordshire, United Kingdom","Laverock Therapeutics is developing a gene silencing platform for the creation of programmable, allogeneic cell therapies.","22,662",,Active,2022-02-01,month,,,,,For Profit,https://www.laverocktx.com/,"Laverock Therapeutics is developing a gene silencing platform for the creation of programmable, allogeneic cell therapies.",Seed,14500000,GBP,17692075
twig bio,https://www.crunchbase.com/organization/twig-bio,"Artificial Intelligence (AI), Biotechnology, Robotics","London, England, United Kingdom",twig bio operates as a bioengineering startup.,"23,135",$1M to $10M,Active,2022-01-01,year,,,,,For Profit,https://twig.bio/,twig bio operates as a bioengineering startup. twig bio using AI and robotics to find sustainable replacements for harmful ingredients.,Seed,3000000,GBP,3746563
Broken String Biosciences,https://www.crunchbase.com/organization/broken-string-biosciences,"Biotechnology, Health Care","Cambridge, Cambridgeshire, United Kingdom",Broken String Biosciences is developing a platform of novel sequencing tools to assess genome stability and to unlock the next generation.,"23,348",$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.brokenstringbio.com/,"Broken String Biosciences is developing a platform of novel sequencing tools to assess genome stability and to unlock the next generation of innovative medicines, including cell and gene therapies.",Early Stage Venture,15000000,USD,15000000
