Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
TurtleTree,https://www.crunchbase.com/organization/turtletree,"Biotechnology, Food and Beverage, Food Processing","Singapore, Central Region, Singapore",TurtleTree is creating the next generation of food for the good of the world.,"5,352",Less than $1M,Active,2019-01-01,year,,,,,For Profit,https://turtletree.com,"TurtleTree is a biotech company dedicated to producing a new generation of nutrition one that’s better for the planet, better for the animals, and better for people everywhere. It is creating better-for-you milk ingredients sustainably and affordably, with benefits that extend beyond the dining table and into the heart of humanity.",Early Stage Venture,39400000,USD,39400000
GDMC,https://www.crunchbase.com/organization/gdmc,"Biopharma, Biotechnology, Manufacturing, Pharmaceutical","Bukit Merah, Central Region, Singapore",GDMC is a pharmaceutical company that engages in manufacturing and designing genetic medicines.,"5,716",,Active,2021-01-01,year,,,,,For Profit,https://www.gdmc.bio,,Early Stage Venture,21000000,USD,21000000
Engine Biosciences,https://www.crunchbase.com/organization/engine-biosciences,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning","Singapore, Central Region, Singapore",Engine Biosciences is a biotech company that applies machine learning to genomics for drug discovery.,"7,215",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.enginebio.com,"Engine Biosciences is a biotech company that applies machine learning to genomics for drug discovery. Engine Biosciences is a venture-backed San Francisco- and Asia-based technology company pioneering network biomedicine. The company's proprietary and patented technologies oriented around deciphering the complexity of biology networks include both high-throughput wet lab experimentation and artificial intelligence algorithms for drug discovery and cellular reprogramming.  This platform, developed through several years of research by our scientific founding and leadership team who include faculty members at MIT, Harvard, Mayo Clinic, and UCSD, dramatically accelerates and reduces costs of the R&D process for new medical therapies.  We are actively applying the platform internally and with partners across a range of disease indications.",Early Stage Venture,103000000,USD,103000000
Mesh Bio,https://www.crunchbase.com/organization/mesh-bio,"Analytics, Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Predictive Analytics","Bukit Merah, Central Region, Singapore",Mesh Bio is a digital health startup that is transforming chronic disease management through predictive analytics.,"8,304",,Active,2018-01-01,year,,,,,For Profit,https://www.meshbio.com/,"Mesh Bio is a digital health startup that is transforming chronic disease management through predictive analytics. Mesh Bio works with healthcare providers and stakeholders to provide innovative solutions that transform health screening and disease management. They translate clinical data and numbers into actionable insights that help patients better manage their health, lifestyle and disease risks.",Early Stage Venture,5300000,USD,5300000
UniFAHS,https://www.crunchbase.com/organization/unifahs,Biotechnology,"Bangkok, Krung Thep, Thailand","UniFAHS is a Special Phage-Based Solutions for Sustainability and Food, Animal, and Human Safety.","8,577",,Active,2020-01-01,year,,,,,For Profit,https://unifahs.com/,"UniFAHS is a leader in the use of phage technology, committed to the sustainable production of safe food from farm to table, advocating for the idea of one health in its whole and actively addressing the worldwide problem of antibiotic resistance (AMR).",Seed,1400000,USD,1400000
Mirxes,https://www.crunchbase.com/organization/mirxes-pte-ltd,"Biotechnology, Health Care, Life Science","Singapore, Central Region, Singapore",Mirxes is an RNA technology company that develops blood-based miRNA test kits for early disease detection.,"11,491",$10M to $50M,Active,2014-01-01,year,,,,,For Profit,http://www.mirxes.com,"Mirxes is a biotechnology company that discovers, develops, and delivers accurate preventive healthcare solutions for cancer, cardiovascular, metabolic and infectious diseases. The company's mission is to make diagnostic solutions for the early detection of diseases accessible on a global scale. It develops and commercializes accurate and non-invasive blood-based miRNA test kit products for the early detection of cancer and other diseases.",Late Stage Venture,218000000,USD,218000000
Tessa Therapeutics,https://www.crunchbase.com/organization/tessa-therapeutics,"Biotechnology, Health Care, Therapeutics","Singapore, Central Region, Singapore",Tessa Therapeutics is a provider of therapy designed to focus on T cell therapy for solid tumors.,"11,827",$10M to $50M,Active,2001-01-01,year,,,,,For Profit,https://www.tessacell.com,"Tessa Therapeutics is a provider of therapy designed to focus on T cell therapy for solid tumors. The company's therapy specializes in developing virus specific T-cells and CAR T cells for the treatment of lymphoma, enabling healthcare providers to treat cancer patients and improve their lives.",Early Stage Venture,256074383,USD,256074383
Hummingbird Bioscience,https://www.crunchbase.com/organization/hummingbird-bioscience,"Biotechnology, Health Care, Oncology, Therapeutics","Woodlands, North Region, Singapore",Hummingbird Bioscience focuses on the discovery and early development of oncology drugs.,"12,106",$10M to $50M,Active,2014-01-01,year,,,,,For Profit,http://www.hummingbirdbioscience.com/en/,"Hummingbird Bioscience uses systems biology to develop insights into disease biology and applies computationally guided platforms to discover and engineer breakthrough biotherapeutics. The company is pursuing a broad pipeline of first drug candidates across multiple challenging targets with strong biological validation and disease association, including lead assets: HMBD-001, an anti-HER3 antibody, and HMBD-002, an anti-VISTA antibody, for the treatment of cancer. Hummingbird has established strategic collaborations with Cancer Research UK and Amgen, and has been awarded a product development grant from the Cancer Prevention and Research Institute of Texas.",Late Stage Venture,150000000,USD,150000000
RVAC Medicines,https://www.crunchbase.com/organization/rvac-medicines,"Biotechnology, Medical, Product Research","Singapore, Central Region, Singapore",RVAC Medicines is an mRNA platform company with a pipeline of novel products covering a wide range of disease areas.,"12,545",$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://www.rvacmed.com,"RVAC Medicines is an mRNA platform company with a pipeline of novel products covering a wide range of disease areas. The company is building a pipeline of novel mRNA vaccines and therapeutics to address unmet medical needs, particularly in emerging markets. It's cutting-edge GMP manufacturing facilities that will advance its platform technologies through in-house research and development and external partnerships, enabling the production of cutting-edge mRNA and nucleic acid delivery technologies. RVAC Medicines was founded in 2021 and is based in Singapore.",Early Stage Venture,140000000,USD,140000000
VolitionRx,https://www.crunchbase.com/organization/volitionrx,"Biotechnology, Health Care, Health Diagnostics","Singapore, Central Region, Singapore",VolitionRx develops easy to use blood-based cancer tests to accurately diagnose a range of cancers.,"13,266",Less than $1M,Active,2010-01-01,year,2011-10-11,day,,,For Profit,https://volition.com,"Volition is a multi-national life sciences company developing simple, easy to use blood-based cancer tests to accurately diagnose a range of cancers. The tests are based on the science of Nucleosomics, which is the practice of identifying and measuring nucleosomes in the bloodstream or other bodily fluid which is an indication that disease is present.   As cancer screening programs become more and more widespread, its products aim to help to diagnose a range of cancers quickly, simply, accurately, and cost-effectively. Early diagnosis has the potential to not only prolong the life of patients but also to improve their quality of life. Volition's research and development activities are currently centered in Belgium, with additional offices in London, Texas, and Singapore, as the company focuses on bringing its diagnostic products to market first in Europe, then in the U.S. and worldwide.",IPO,66224982,USD,66224982
ImmunoScape,https://www.crunchbase.com/organization/immunoscape,"Biotechnology, Life Science, Medical","Singapore, Central Region, Singapore",ImmunoScape offers a tech platform that allows profiling and characterization of the human immune response.,"14,694",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://immunoscape.com/,"ImmunoScape is an immunomics-focused company with a technology platform that allows for immune profiling and characterization of the human immune response at extremely high resolution. The company’s Deep Immunomics platform combines mass cytometry, single cell sequencing, and proprietary computational bioinformatics, data analysis, and visualization tools to provide novel, reproducible immune profiling information. This technology has been utilized across multiple therapeutic areas, especially in oncology and infectious disease, both to better understand immunotherapy safety and efficacy and to identify drug targets.",,42038509,USD,42038509
ASLAN Pharmaceuticals,https://www.crunchbase.com/organization/aslan-pharmaceuticals,"Biotechnology, Health Care, Medical, Oncology, Pharmaceutical","Singapore, Central Region, Singapore",ASLAN Pharmaceuticals is an oncology-focused biotechnology company developing a portfolio of immuno-oncology agents and targeted therapies.,"15,528",$10M to $50M,Active,2010-01-01,year,2018-05-04,day,,,For Profit,http://aslanpharma.com,ASLAN is a pharmaceutical company that develops novel medicines for global markets. It specializes in clinical-stage immunology and oncology-focused biopharmaceuticals.,IPO,181000000,USD,181000000
Nalagenetics,https://www.crunchbase.com/organization/nalagenetics,"Biotechnology, Health Care, Medical","Singapore, Central Region, Singapore",Nalagenetics is a biotechnology company that provides genetic testing services.,"17,796",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://nalagenetics.com/,"Nalagenetics is a health-tech company that provides genetic testing. In 2016, the company collaborated with the Indonesian health ministry to distribute 1,000 genetic test kits in five villages in Papua and West Papua. The company's tests revealed that 20% of leprosy patients in the area carry the gene responsible for potentially fatal reactions to Dapsone, an anti-leprosy medication; this discovery assisted doctors in determining which patients could be safely treated with the antibiotic.",Early Stage Venture,13600000,USD,13600000
Gero,https://www.crunchbase.com/organization/gero,"Artificial Intelligence (AI), Biotechnology, Genetics, InsurTech, Pharmaceutical","Singapore, Central Region, Singapore",Gero is a biotechnology company that provides therapeutics against chronic diseases.,"17,901",$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.gero.ai,GERO is an AI Drug Discovery company created to solve chronic diseases,Early Stage Venture,6000000,USD,6000000
Entobel,https://www.crunchbase.com/organization/entobel,"Agriculture, Animal Feed, Biotechnology, Farming","Singapore, Central Region, Singapore",Entobel is a Biotech company supplying insect based products to the feed industry.,"20,176",$10M to $50M,Active,2013-01-01,year,,,,,For Profit,http://www.entobel.com/,"Entobel has developed a bioconversion model based on what nature has done for millions of years. By converting low-value biomass into high grade products thanks to insects (species: Hermetia illucens – Black Soldier Fly), Entobel technology represents the missing link in our global food chain.",Early Stage Venture,33250000,USD,33250000
Qritive,https://www.crunchbase.com/organization/qritive,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Oncology, Software","Singapore, Central Region, Singapore","Qritive makes cancer diagnosis fast, cheap, and accurate.","21,569",,Active,2017-09-04,day,,,,,For Profit,https://www.qritive.com/,"During our lifetime, 1 in 3 of us will get cancer. But cancer diagnosis is slow and expensive because doctors are not equipped with modern automated tools. Qritive provides an AI-powered solution to help doctors analyse both microscopy images and text from patient data. As a result, hospitals will be more efficient in making cancer diagnoses, allowing them to save costs.",Early Stage Venture,9000000,USD,9000000
AWAK Technologies,https://www.crunchbase.com/organization/awak,"Biotechnology, Wearables","Singapore, Central Region, Singapore","AWAK develops wearable dialysis machines that operate and function like a normal kidney, for continuous dialysis.","21,671",Less than $1M,Active,2007-01-01,year,,,,,For Profit,http://www.awak.com,"AWAK Technologies develop wearable dialysis machines, 1kg and battery-operated, for continuous dialysis. The company was certified by SGS for ISO 13485 Quality Management System in September 2008 with the scope of designing, manufacturing and distributing medical devices. The Automated Wearable Artificial Kidney (AWAK) is based on tidal peritoneal dialysis. The technology is based on research by Profs David Lee & Martin Roberts of UCLA and VA Systems. The engineering and development of AWAK is done in Singapore with the collaboration of Temasek Polytechnic. The company has completed the R&D and is now in the clinical trial stage, targeting both FDA and CE certifications. The AWAK Regular Cartridge, is currently in pilot production stage and expected to enter clinical trial by the end of 2012.  This wearable artificial kidney operates continuously and functions like a normal kidney. Being small , light (less than 1 kg) and battery-operated, the patients will be able to go about having daily routines, with no restriction to lifestyles such as work, travel and leisure.",Early Stage Venture,77200000,USD,77200000
Esco Lifesciences,https://www.crunchbase.com/organization/esco-lifesciences,Biotechnology,"Singapore, Central Region, Singapore","Esco Lifesciences provides enabling technologies, products, and services.","21,719",,Active,1978-01-01,year,,,,,For Profit,https://www.group.escolifesciences.com/,"Esco Lifesciences Group provides enabling technologies, products, and services for the life sciences and healthcare industries, supporting academic research and scientific discoveries, clinical practice, as well as biopharmaceutical R&D and manufacturing.",Early Stage Venture,200000000,USD,200000000
