Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
BDO Unibank,https://www.crunchbase.com/organization/bdo-unibank,"Banking, Finance, Financial Services","Makati, Manila, Philippines",The market leader in the domestic banking industry in the Philippines.,"9,219",Active,1967-01-01,year,2017-03-10,day,,,For Profit,https://www.bdo.com.ph,"BDO is a full-service universal bank that provides a wide range of corporate and retail banking services, including traditional loan and deposit products as well as treasury, trust banking, investment banking, private banking, rural banking, cash management, leasing and finance, remittance, insurance, retail cash cards, and credit card services.",IPO,1200000000,USD,1200000000
Security Bank Corporation,https://www.crunchbase.com/organization/security-bank-corporation,"Banking, Finance, Financial Services","Makati, Manila, Philippines","Security Bank Corporation is one of the Philippines’ leading universal banks serving retail, commercial.","17,676",Active,1951-01-01,year,2008-11-13,day,,,For Profit,https://www.securitybank.com/,"Security Bank Corporation is a Philippines-based bank. The Bank's business segments are Financial Markets Segment, Wholesale Banking Segment, Retail Banking Segment and All Other segments. Its Financial Markets Segment focuses on providing money market, foreign exchange, financial derivatives, securities distribution, asset management, as well as the management of the funding operations for the Bank. Its Wholesale Banking Segment offers various services, such as relationship management, lending and other credit facilities, trade and deposit-taking services. It also provides structured financing and advisory services relating to debt and equity capital raising, project financings, and mergers and acquisitions. It also includes the equity brokerage operations of the Bank. Its Retail Banking Segment is engaged in deposit-taking and servicing, consumer loans and credit card facilities. Its All Other Segments include remittances, leasing, transaction banking and other support services.",IPO,782000000,USD,782000000
UnionBank of the Philippines,https://www.crunchbase.com/organization/unionbank-of-the-philippines,"Banking, Finance, Financial Services, FinTech","Pasig, Rizal, Philippines",UnionBank of the Philippines is a banking company that provides financial products and services to its consumers.,"19,243",Active,1981-01-01,year,,,,,For Profit,https://www.unionbankph.com,"UnionBank of the Philippines is a banking company that provides financial products and services to its consumers. The Bank distinguishes itself through superior technology, unique branch sales, and service culture, and centralized backroom operations.  UnionBank’s superior technology allows the delivery of online, real-time business solutions to meet the customers’ changing and diverse needs through innovative and customized cash management products and service offerings.  The Bank’s unique branch culture ensures efficient and quality service as well as mitigates operational risk.  Its centralized operations enable the Bank to provide responsive, scalable, and secure transaction processing.",,758000000,USD,758000000
Cebu Pacific,https://www.crunchbase.com/organization/cebu-pacefic,Public Transportation,"Pasay City, Pasay, Philippines","Cebu Pacific (CEB), the low fare leader in the Philippines entered the market on March 1996 and pioneered the “low fare, great value”","32,830",Active,1988-01-01,year,2013-06-04,day,,,For Profit,http://www.cebupacificair.com,"Cebu Pacific (CEB), the low fare leader in the Philippines entered the market on March 1996 and pioneered the “low fare, great value” strategy in the local aviation industry. It has since then flown 70 million passengers and counting.",IPO,250000000,USD,250000000
Rizal Commercial Banking,https://www.crunchbase.com/organization/rizal-commercial-banking,"Accounting, Banking, Financial Services, Guides","Makati, Manila, Philippines","Rizal Commercial Banking is a finance company that provides cash management, loan, digital banking, and accounting services.","36,452",Active,1960-09-23,day,1986-11-06,day,,,For Profit,https://www.rcbc.com,"RCBC is the financial flagship company of the Yuchengco Group of Companies (YGC), one of the oldest and largest conglomerates.",IPO,554847272,USD,554847272
Mango Markets,https://www.crunchbase.com/organization/mango-markets,"Blockchain, Cryptocurrency","Solana, Misamis Oriental, Philippines",Mango Markets is a decentralized exchange on the high-speed Solana blockchain.,"37,371",Active,1984-01-01,year,,,,,For Profit,https://mango.markets/,Mango Markets is a decentralized exchange on the high-speed Solana blockchain.,,70000000,USD,70000000
Asian Development Bank,https://www.crunchbase.com/organization/asian-development-bank,"Banking, Finance, Financial Services","Mandaluyong, Cavite, Philippines","ADB is a development finance institution provides loans, technical assistance, equity investments, and grants for development activities.","41,799",Active,1966-01-01,year,,,,,For Profit,https://www.adb.org/,"Asian Development Bank (ADB) is an international development finance institution that provides developing nations with loans, advice, policy dialogue, technical assistance, and equity investments, and grants for a broad range of development activities. It partners with member governments, independent specialists, and other financial institutions to deliver projects that create economic and development impact. In addition, its triple-A credit rating helps clients mobilize funds for development. It raises funds through bond issues on the world’s capital markets. The institution is focused on making improvements on areas such as agriculture and food security; education; energy; environment, climate change, and disaster risk management; finance sector development; gender and development; governance and public management; health; information and communications technology; regional cooperation and integration; social development and poverty; transport; urban development; and water. ADB is also a knowledge institution that spreads information through regional fora; a growing online presence; social media channels; and the publication of specialized papers, periodicals, and books. Asian Development Bank is headquartered in Manila, Philippines with 29 resident missions across the Asia and Pacific region, and 3 representative offices in Washington, Frankfurt, and Tokyo.",,,,
LBC Express,https://www.crunchbase.com/organization/lbc-express,"Automotive, Financial Services, Logistics, Transportation","Pasay City, Pasay, Philippines","LBC Express, Inc. is the leading Global Filipino Company in the business of Express Courier and Money Remittance .","44,189",Active,1950-01-01,year,,,,,For Profit,http://www.lbcexpress.com/,"Luzon Brokerage Corporation (LBC) was founded in the 1950s as a brokerage and air cargo provider with a bold, pioneering spirit which is still embodied today. First to introduce 24-hour air cargo delivery in the Philippines, LBC soon became the respected leader in the industry with fast and reliable Express Courier and Money Remittance. Today, LBC offers the widest coverage and network with over 1,000 strategically located branches nationwide. LBC continued with aggressive growth in the domestic market and soon set foot overseas: In 1985 the first international LBC branch was opened in San Francisco, California. Since then, they haven’t stopped moving. Today, you'll find us all over North America, the Middle East, Asia Pacific, Europe and Oceania, with more than 3,000 branches and affiliations. They like to move it.",,50000000,USD,50000000
Axelum Resources,https://www.crunchbase.com/organization/axelum-resources-corp,"Food and Beverage, Manufacturing, Organic","Makati, Manila, Philippines",Axelum Resources is a food and beverage company that manufactures coconut products.,"54,223",Active,1986-01-01,year,2019-10-07,day,,,For Profit,http://www.axelum.ph,"Axelum Resources produces and distributor of desiccated coconut, coconut milk powder, coconut cream, coconut milk, coconut water, reduced fat coconut, coconut oil, and virgin coconut oil.",IPO,5320000000,PHP,97009482
Cirtek Holdings Philippines Corp.,https://www.crunchbase.com/organization/cirtek-holdings-philippines-corp,"Electronics, Industrial Manufacturing, Semiconductor","Biñan, Laguna, Philippines",Cirtek Holdings Philippines Corp is the holding company.,"66,504",Active,1984-01-01,year,,,,,For Profit,http://www.cirtekholdings.com/,"Cirtek Holdings Philippines Corporation is the holding company of Cirtek  Electronics Corporation (CEC) and Cirtek Electronics International Corporation (CEIC).  Through its subsidiaries, the Company is primarily engaged in two major activities : (1) providing full service/turnkey solutions including wafer probing, wafer back grinding, assembly, and packaging and final testing of semiconductor devices, and (2) offering complete manufacturing solutions for value-added, highly integrated radio frequency (""RF""), microwave and millimeterwave technology products.",,67000000,USD,67000000
