Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Sotio,https://www.crunchbase.com/organization/sotio,"Biotechnology, Health Care, Medical, Therapeutics","Prague, Hlavni mesto Praha, Czech Republic",Sotio is a biotechnology company developing a new immunotherapy based on activated dendritic cells for the treatment of cancer.,"23,614",$10M to $50M,Active,2010-01-01,year,,,,,For Profit,http://www.sotio.com,"Sotio is an international biotechnology company leading the efforts of PPF Group to build a diverse biotechnology portfolio through its own research & development, collaborations, in-licensing, investments, mergers, and acquisitions. The company is developing new medical therapies, focusing on the treatment of cancer and autoimmune diseases. The most advanced project is the SOTIO proprietary platform of active cellular immunotherapy (ACI) based on dendritic cells.",,316867683,USD,316867683
Sensible Biotechnologies,https://www.crunchbase.com/organization/sensible-biotechnologies,"Biotechnology, Medical","Bratislava, Bratislava, Slovakia (Slovak Republic)",Sensible Biotechnologies works on engineering cells to make mRNA therapeutics and vaccines.,"38,186",,Active,2021-01-01,year,,,,,For Profit,https://www.sensible.bio,,Seed,4200000,USD,4200000
AbCheck,https://www.crunchbase.com/organization/abcheck-s-r-o,"Biopharma, Biotechnology, Life Science, Pharmaceutical","Plzen, Plzensky kraj, Czech Republic",AbCheck provides an antibody discovery platform that discovers and optimizes human therapeutic antibodies.,"49,399",,Active,2009-01-01,year,2024-01-03,day,,,For Profit,https://abcheckantibodies.com/,"AbCheck provides an antibody discovery platform that discovers and optimizes human therapeutic antibodies. The company provides drug candidates through discovery collaborations or strategic research partnerships based on flexible business terms including royalty-free agreements. It generates target-specific human antibody domains which can be used in distinct therapeutic formats. AbCheck was founded in 2009 and is a spin-out of Affimed’s technology discovery platform. It is a wholly owned subsidiary of Affimed GmbH, a biopharmaceutical company developing highly targeted cancer immunotherapies.",M&A,1000000,EUR,1058605
Mewery Meat,https://www.crunchbase.com/organization/mewery-meat,Biotechnology,"Brno, Jihomoravsky kraj, Czech Republic",Czech-based Mewery Meat harvests cultivated pork meat by growing pork cells in its proprietary “cultivator” bioreactors.,"49,463",,Active,2020-01-01,year,,,,,For Profit,https://www.mewery.io/,"Czech-based Mewery Meat harvests cultivated pork meat by growing pork cells in its proprietary “cultivator” bioreactors, using pork stem-cells and microalgae-based growth media. The company takes 6–7 weeks to grow its pork, and claims that it can reduce cultivation related costs by 70% by using microalgae-based growth media. Mewery reports that it uses 95% less land, 78% less water, and reduces carbon emissions by 92% for every kilogram of cultivated pork produced.",Seed,320000,EUR,344032
Mabpro Therapeutics,https://www.crunchbase.com/organization/mabpro-therapeutics,"Biotechnology, Health Care, Life Science, Therapeutics","Bratislava, Bratislava, Slovakia (Slovak Republic)","early-stage biotech company building an immunotherapy platform and companion diagnostics for aggressive, hypoxic tumors","100,045",,Active,2016-03-05,day,,,,,For Profit,https://www.mabprotx.com,"Mabpro Therapeutics is an early-stage biotech company building an immunotherapy platform and companion diagnostics for aggressive, hypoxic tumors. Mabpro is the spinoff company of the Biomedical Research Centre of the Slovak Academy of Science located in Slovakia, which originally discovered and characterized Carbonic Anhydrase IX (CA IX) as the therapeutic target and mechanism of action. Groundbreaking research on hypoxia has been a part of the subject for which the 2019 Nobel Prize for Medicine has been awarded. Three of our team members have co-authored recent studies on hypoxia and CA IX with one of its laureates, Sir. Peter J. Ratcliffe. Mabpro developed two core therapeutic assets – two humanized monoclonal antibodies targeting different cancer use-cases, completed most of the pre-clinical work and is preparing to launch Phase Ib/II clinical trials, holds comprehensive IP package related to CA IX-based therapies, including own proprietary IP and an exclusive license for the entire core background IP related to therapeutic applications of CA IX (owned by the Slovak Academy of Sciences).",Seed,2260000,EUR,2703005
DIANA Biotechnologies,https://www.crunchbase.com/organization/diana-biotechnologies,"Biopharma, Biotechnology, Pharmaceutical","Vestec, Stredocesky kraj, Czech Republic",DIANA Biotechnologies specializes in the development of products based on research in clinical diagnostics and drug discovery areas.,"102,942",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.dianabiotech.com,,Seed,3500000,EUR,4203770
Glycanostics,https://www.crunchbase.com/organization/glycanostics,"Biotechnology, Health Care, Health Diagnostics","Bratislava, Bratislava, Slovakia (Slovak Republic)",Glycanostics is a biotechnology company that provides a test for the diagnostics of prostate cancer.,"104,182",$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://glycanostics.com,"Glycanostics is a start-up company providing an early-stage cancer diagnostic test. They develop clinically validate and register an affordable, non-invasive next-gen liquid biopsy prostate cancer diagnostic test.",Seed,1987387,EUR,2383890
Nitroterra,https://www.crunchbase.com/organization/nitroterra,Biotechnology,"Bratislava, Bratislava, Slovakia (Slovak Republic)",Nitroterra operates as a biotechnological startup.,"110,957",,Active,2018-01-01,year,,,,,For Profit,https://www.nitroterratechnology.com/,Nitroterra operates as a biotechnological startup. Nitroterra revolutionize the way biofertilisers are produced and used in the farming industry.,Seed,1000000,USD,1000000
Elphogene,https://www.crunchbase.com/organization/elphogene,"Biotechnology, Health Care, Health Diagnostics, Life Science","Prague, Hlavni mesto Praha, Czech Republic",Elphogene is a biotechnological company providing tools and services for liquid-biopsy testing in cancer.,"165,868",,Active,2018-12-01,month,,,,,For Profit,https://www.elphogene.cz,Elphogene provides a molecular oncomonitor for the detection of cancer progression and treatment monitoring. It is a diagnostic tool based on liquid biopsy screening of ctDNA in the peripheral blood of cancer patients. It is to follow-up with patients in advanced stages of cancer for early detection of newly arising metastatic lesions.,Seed,500000,USD,500000
Saftra Photonics,https://www.crunchbase.com/organization/saftra-photonics,"Biotechnology, Medical, Nanotechnology","Kosice, Kosice, Slovakia (Slovak Republic)","Saftra Photonics is a Slovak high-tech company established as a spin-off from the P. J. Safarik University, Kosice, Slovakia in 2014.","177,115",Less than $1M,Active,2014-01-01,year,,,,,For Profit,https://saftra-photonics.org,"Saftra Photonics is a Slovak high-tech company established as a spin-off from the P. J. Safarik University, Kosice, Slovakia in 2014. The development and the business strategies of the company are based on the research activities of the group led by prof. Pavol Miskovsky, the head of the Center for Interdisciplinary Biosciences at the P. J. Safarik University, mainly in the fields of photonics and biomedical research. The mission of SAFTRA Photonics lies in providing a wide range of market driven research and development activities in the field of (nano)photonics science and technology transfer primarily focused on testing, analyses and controlling processes applied in medicine, environment, and cultural heritage.",,1271735,EUR,1423056
InoCure,https://www.crunchbase.com/organization/inocure,"Biotechnology, Health Care, Life Science, Nanotechnology","Praha, Hlavni mesto Praha, Czech Republic", InoCure is a SME focused on development of advanced nanomaterials for life science use.,"189,060",$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.inocure.cz/, InoCure is a SME focused on development of advanced nanomaterials for life science use. It helps its partners design next generation of drug delivery systems and introduce those into mass production.,,50000,USD,50000
Symbiom,https://www.crunchbase.com/organization/symbiom,"Biotechnology, Food Processing","Lanskroun, Pardubicky kraj, Czech Republic","Symbiom deals with the research, development, and production of natural preparations for growing plants.","214,322",,Active,1999-01-01,day,,,,,For Profit,https://www.symbiom.cz/,"Symbiom is an agricultural company that offers a natural alternative to chemical fertilizers. They provide organic cultivation, natural cultivation without chemicals, a reduction of watering and fertilizing consumption, and plant resistance.",,240000,EUR,268643
Yakna,https://www.crunchbase.com/organization/yakna,"Biotechnology, Education, Information Technology, Software","Praha, Hlavni mesto Praha, Czech Republic",Yakna develops neurorehabilitation applications and hardware  professional education  popularization of science.,"260,231",,Active,2015-01-01,year,,,,,For Profit,https://www.yakna.cz,Yakna develops neurorehabilitation applications and hardware  professional education  popularization of science.,,71429,EUR,81868
PEWAS Innovative Chemistry,https://www.crunchbase.com/organization/pewas-innovative-chemistry,"Agriculture, Biotechnology, Chemical, Risk Management","Bratislava, Bratislava, Slovakia (Slovak Republic)","PEWAS specializes in ecological, innovative, and efficient chemistry.","270,751",$1M to $10M,Active,1992-01-01,year,,,,,For Profit,http://www.pewas.sk,"PEWAS specializes in ecological, innovative, and efficient chemistry. It has developed solutions ranging from an innovative use of special polymers to remove harmful by-products of petroleum accidents and natural disasters (floods and fires) to the application of these polymers in agriculture to absorb water in the soil, proving to be an efficient tool for farmers in extremely dry regions. Another benefit the company offers is the production of new biodegradable oils and lubricants for different industries essential to the economy (forestry, water management, construction, and railway industries). Anywhere conventional mineral oils cause extensive environmental damages upon leakage, our biodegradable products avert this situation. Since its establishment in 1992, its product portfolio has also consisted of numerous consumer goods of traditional chemistry such as shoe and leather care, bio lubricants and fire-place chemistry.",,71429,EUR,87649
HighChem,https://www.crunchbase.com/organization/highchem,"Biotechnology, Software","Bratislava, Bratislava, Slovakia (Slovak Republic)",HighChem develops software for the management and processing of spectral and chromatographic data in small molecules.,"295,982",Less than $1M,Closed,1998-01-01,year,2019-06-06,day,,none,For Profit,http://www.highchem.com/,"HighChem focuses on creating spectrometry solutions that give chemists, medical researchers, and biologists the tools they need to interpret complex analytical data and come up with relevant conclusions. It creates enormous data collections of fragmented information, experimental spectra, and organism-specific biochemical data that are essential in contemporary metabolomic, pharmacological, forensic, and environmental applications. It also produces library and cloud platforms.",M&A,50000,EUR,55998
AI|ffinity,https://www.crunchbase.com/organization/ai-ffinity,"Artificial Intelligence (AI), Biopharma, Biotechnology, Life Science, Medical, Pharmaceutical, Therapeutics","Brno, Jihomoravsky kraj, Czech Republic","Spin-off leveraging NMR, AI & Cheminformatics for pharma and biotech, expediting drug discovery, structure determination and protein design.","334,582",,Active,2021-11-12,day,,,,,For Profit,http://www.aiffinity.com,"AI|ffinity leverages NMR, AI, and Cheminformatics to provide innovative solutions to the pharmaceutical and biotech sectors, notably our comprehensive NMR-AI platform covering the entire Target-to-Lead process, and our 4D NMR-AI technology with applications in drug design and protein engineering. Integrating drug design technology with NMR, our goal is to expedite the initial phases of drug discovery, enhance success rates, and cut costs by circumventing unneeded experiments. We are a spin-off from Masaryk University, supported by the Central European Institute of Technology (CEITEC) in Brno, thus we operate from our headquarters at JIC INMEC in Brno-Medlánky, Czech Republic, but we also have facilities at Prague's 6 Scott.Weber-Blox. Our long-term vision includes the establishment of an ""NMR hub"" in Brno and a ""CADD hub"" in Prague.",,,,
ELC Group,https://www.crunchbase.com/organization/elc-group,"Biotechnology, Medical Device, Pharmaceutical, Professional Services","Karolinka, Zlinsky kraj, Czech Republic","ELC Group provides a wide range of solutions for pharmaceutical, medical devices, translations and chemical industries.","368,109",$1M to $10M,Active,2004-01-01,day,2021-07-23,day,,,For Profit,http://www.elc-group.com,,M&A,,,
