Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
UniFAHS,https://www.crunchbase.com/organization/unifahs,Biotechnology,"Bangkok, Krung Thep, Thailand","UniFAHS is a Special Phage-Based Solutions for Sustainability and Food, Animal, and Human Safety.","8,555",Active,2020-01-01,year,,,,,For Profit,https://unifahs.com/,"UniFAHS is a leader in the use of phage technology, committed to the sustainable production of safe food from farm to table, advocating for the idea of one health in its whole and actively addressing the worldwide problem of antibiotic resistance (AMR).",Seed,1400000,USD,1400000
GuildFi,https://www.crunchbase.com/organization/guildfi,"Apps, Gaming, Metaverse, Video Games","Bangkok, Krung Thep, Thailand",GuildFi is a gaming platform that empowers all gamer communities and creates interoperability across the Metaverse.,"10,288",Active,2021-01-01,year,,,,,For Profit,https://guildfi.com/,GuildFi is a gaming platform that empowers all gamer communities and creates interoperability across the Metaverse.,,6300000,USD,6300000
Snapshot Labs,https://www.crunchbase.com/organization/snapshot-labs,"Cryptocurrency, Information Services","Phuket, Phuket, Thailand",Snapshot Labs is an off-chain gasless multi-governance tool for crypto projects to poll their user bases.,"31,181",Active,2021-01-01,year,,,,,For Profit,https://snapshot.org,Snapshot Labs is an off-chain gasless multi-governance tool for crypto projects to poll their user bases. Snapshot used by several companies in the DeFi space to help survey users.,Seed,4000000,USD,4000000
FWX,https://www.crunchbase.com/organization/forward-enterprise,"Banking, Cryptocurrency, Finance, Financial Services, Information Services, Information Technology, Lending, Trading Platform","Lat Yao, Nakhon Sawan, Thailand",Decentralized Derivative Platform with High Organic Real Yield APR.,"38,805",Active,2021-10-01,day,,,,,For Profit,https://fwx.finance,"FWX is a decentralized derivatives platform where users trade against the protocol, while the protocol fully hedges the risk of all positions using liquidity in its pools.  FWX has two primary services: lending and borrowing pools and derivatives trading. Unlike the traditional order-book-based double auction matching mechanism, FWX acts as a counterparty to all futures traders and applies a unique hedging algorithm to eliminate the risk using the liquidity in its single-token lending pools. Every futures trade submitted to the platform creates organic borrowing demand in the pools. This solves the problem currently faced by lending platforms in which there are many lenders but significantly fewer borrowers. The higher the trading volume, the higher the yield. With the daily trading volume of 500kUSD, FWX can generate organic yield of at least 20% for a 5mUSD pool.",Early Stage Venture,5000000,USD,5000000
Monix,https://www.crunchbase.com/organization/monix,"Apps, Financial Services, FinTech, Lending","Bangkok, Krung Thep, Thailand",Monix is a fintech company that offers financial services.,"45,082",Active,2020-01-01,year,,,,,For Profit,https://www.monix.co.th/,Monix is a fintech company. They design businesses and applications based on a thorough understanding of customer insights and their needs. They are able to grant them access to funds at any time.,,20000000,USD,20000000
Salary Hero,https://www.crunchbase.com/organization/salary-hero,"Apps, Employee Benefits, Finance, Financial Services, FinTech, Wellness","Bangkok, Krung Thep, Thailand",The No. 1 Financial health platform for employees.,"46,407",Active,2021-01-01,year,,,,,For Profit,https://www.salary-hero.com/,"Salary Hero is a financial health platform built for the Thai workforce.  Our service enables your company to improve staff financial well-being by providing them with a suite of financial tools including Salary on Demand, Financial Education, Budgeting Tools and High-Interest Savings.  Salary Hero integrates with your current HR processes to make implementation and management of our service seamless for HR. Employers see tangible cost savings by implementing Salary Hero, driven by lower staff turnover, faster recruiting, and a happier and more productive workforce.",Seed,2800000,USD,2800000
Elumia,https://www.crunchbase.com/organization/elumia,"Blockchain, Cryptocurrency, Gaming","Bangkok, Krung Thep, Thailand",Elumia is a game development company that develops blockchain games.,"47,276",Active,2021-01-01,year,,,,,For Profit,https://www.elumia.io,"Elumia is a cash based game development company. Their games allow players to themselves in world zones, engaging in multiplayer adventures, quests, and fierce player battles with in game enemies and against other real time players. Their legends of elumia is a multiplayer online role playing game that allows players to gain full ownership of their in game assets using revolutionary new mechanics.",Seed,5200000,USD,5200000
Eazy Digital,https://www.crunchbase.com/organization/eazy-digital-a39f,"Financial Services, Insurance","Bangkok, Krung Thep, Thailand",Eazy Digital is a insurtech company that provides digital platforms for insurance companies.,"48,457",Active,2022-01-01,year,,,,,For Profit,https://www.eazydigital.io/,Eazy Digital is a insurtech company that provides digital platforms for insurance companies.,Seed,1850000,USD,1850000
TokenUnlocks,https://www.crunchbase.com/organization/token-unlocks,"Business Intelligence, Data Integration, Online Portals","Bangkok, Krung Thep, Thailand",TokenUnlocks is a data analytics dashboard that aid customers with information for upcoming events and tokenomics.,"48,563",Active,2022-01-01,year,,,,,For Profit,https://token.unlocks.app,"TokenUnlocks is the token analytics dashboard that keeps track of vested tokens, alerts users to impending unlock events, and offers thorough tokenomics knowledge. Users receive the data they give, which is both on- and off-chain. In addition to providing consumers with information about future events and tokenomics, they also provides an online data analytics dashboard.",Seed,1500000,USD,1500000
Lazudi,https://www.crunchbase.com/organization/lazudi,"Property Management, Real Estate, Rental Property","Bangkok, Krung Thep, Thailand","Lazudi is a cloud-based property agency that helps customers buying, renting and selling a home.","58,739",Active,2020-01-01,year,,,,,For Profit,https://lazudi.com/th-en,"LAZUDI is an online real estate marketplace that improves the search experience for people looking to buy, rent, or sell a home in Thailand. Creating digital tools for the modern agent, home seller, and buyer, Lazudi is a tech-enabled broker who helps clients buy, sell, or rent a home more smoothly. By creating smart, simple solutions that improve the way they transact real estate in the modern era.",,2000000,USD,2000000
