Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
CapitaLand,https://www.crunchbase.com/organization/capitaland-limited,"Hospitality, Real Estate","Singapore, Central Region, Singapore",CapitaLand is one of Asia’s largest real estate companies.,"7,842",Active,2000-01-01,year,2005-09-30,day,,,For Profit,http://www.capitaland.com/,"CapitaLand is one of Asia’s largest real estate companies headquartered and listed in Singapore. The company leverages its significant asset base, design and development capabilities, active capital management strategies, and extensive market network and operational capabilities to develop high-quality real estate products and services. Its diversified global real estate portfolio includes integrated developments, shopping malls, serviced residences, offices and homes. The Group focuses on Singapore and China as our core markets, while it continues to expand in markets such as Vietnam and Indonesia. The company also has one of the largest real estate fund management businesses with assets located in Asia.",IPO,653668047,USD,653668047
Tessa Therapeutics,https://www.crunchbase.com/organization/tessa-therapeutics,"Biotechnology, Health Care, Therapeutics","Singapore, Central Region, Singapore",Tessa Therapeutics is a provider of therapy designed to focus on T cell therapy for solid tumors.,"11,576",Active,2001-01-01,year,,,,,For Profit,https://www.tessacell.com,"Tessa Therapeutics is a provider of therapy designed to focus on T cell therapy for solid tumors. The company's therapy specializes in developing virus specific T-cells and CAR T cells for the treatment of lymphoma, enabling healthcare providers to treat cancer patients and improve their lives.",Early Stage Venture,256074383,USD,256074383
TauRx Pharmaceuticals,https://www.crunchbase.com/organization/taurx-pharmaceuticals,"Biotechnology, Health Diagnostics, Pharmaceutical","Singapore, Central Region, Singapore",TauRx Pharmaceuticals is a life sciences company developing drugs and diagnostics for neurodegenerative diseases.,"22,040",Active,2002-01-01,year,,,,,For Profit,http://taurx.com,"TauRx Therapeutics Ltd was established in Singapore in 2002 with the aim of developing new treatments and diagnostics for a range of neurodegenerative diseases based on an entirely new approach which targets aggregates of abnormal fibres of Tau protein that form inside nerve cells in the brain. The TauRx team have since discovered that LMTX™ could also have beneficial effects in several other neurodegenerative diseases associated with Tau pathology, as well as other protein aggregation disorders including Parkinson’s, Huntington’s and Frontotemporal Dementia (Pick’s Disease). While TauRx headquarters are in Singapore, its primary research facilities are in Aberdeen, Scotland.",Early Stage Venture,376500000,USD,376500000
Conversant Solutions,https://www.crunchbase.com/organization/conversant-solutions,"Digital Media, Information Services, Information Technology","Singapore, Central Region, Singapore",Conversant Solutions is a cloud-based digital media enablement and security platform.,"44,459",Active,2002-01-01,year,,,,,For Profit,https://www.conversant.tv/,"Conversant is a cloud-based digital media enablement and security platform. It provides innovative digital media and video solutions for telecommunication service providers, content providers, media broadcasters and enterprises in aim to connect them to the digital world.",Early Stage Venture,21000000,USD,21000000
INKR,https://www.crunchbase.com/organization/inkr,"Advertising, Comics, Content, Digital Entertainment","Singapore, Central Region, Singapore",INKR Comics is an app for comic publishers and creators to reach their content to the public.,"55,625",Active,2001-01-01,year,,,,,For Profit,https://inkr.com/,INKR is a digital comics platform that allows comic publishers and creators to make comic content available to readers. It is an application for comic readers that helps comic publishers and creators to reach their content to the public.,Seed,3100000,USD,3100000
Knowledge Platform,https://www.crunchbase.com/organization/knowledge-platform,"E-Learning, Education, Training","Singapore, Central Region, Singapore",Knowledge Platform are provide holistic learning solutions.,"70,846",Active,2000-01-01,year,,,,,For Profit,http://knowledgeplatform.com,"Knowledge Platform is one of Asia-Pacific’s leading ‘next-generation learning solutions companies. They provide holistic learning solutions for their clients in the form of strategy, content, technology and support. They specialize in learning and instructional design. They bring to their work substantial domain knowledge and experience in meeting the unique learning requirements of their clients. They have developed e-learning and blended learning training programs on a wide range of subjects in the educational, corporate and government sectors. They believe powerful learning is immersive, personalized and social. their mission is to create meaningful learning experiences and to promote sharing and collaboration amongst learners and teachers.",Early Stage Venture,2000000,USD,2000000
Pacific Radiance,https://www.crunchbase.com/organization/pacific-radiance,"Logistics, Marine Transportation","Singapore, Central Region, Singapore",Pacific Radiance operates a diverse fleet of vessels which support a range of offshore operations,"72,235",Active,2002-01-01,year,,,,,For Profit,http://www.pacificradiance.com/,"The Pacific Radiance Group of Companies is an established owner and operator of offshore vessels and a provider of subsea services, shipyard services, marine equipment as well as project logistics to the global oil and gas industry. Vision Statement To become a global and best-in-class integrated marine solutions provider in all our business segments.",,85000000,SGD,61513077
CellResearch Corporation,https://www.crunchbase.com/organization/cellresearch-corporation,"Biotechnology, Health Care, Medical","Singapore, Central Region, Singapore",CellResearch Corp is the pioneer and global leader in Cord Lining Stem Cells.,"91,533",Active,2002-01-01,year,,,,,For Profit,http://www.cellresearchcorp.com/,"CellResearch Corporation was founded in Singapore in 2002 by scientists with a keen interest and expertise in Cell Biology. It’s original remit was to provide skin and scar cells to laboratories around the world for research, as well as to perform contract research for cell laboratories internationally.  In 2004, our scientists isolated Epithelial and Mesenchymal Stem Cells from the Umbilical Cord Lining Membrane. This novel and significant discovery was put up for intellectual property protection, and to date we have patents granted in multiple strategic key territories around the world. The umbilical cord lining membrane is now known to be the richest source of stem cells in the body, and both epithelial and mesenchymal stem cells are being researched intensively with collaborators all around the world to exploit their potential for downstream medical therapy. Considerable headway has already been achieved, and we are due shortly to start USFDA Clinical Trials with our collaborators in the USA, leading to a therapy to accelerate wound healing. To maximise future Cord Lining Stem Cell use, CellResearch Corporation feels that the membrane from which the cells are derived should be stored. Today we license our proprietary technology to partners who bank Cord Lining Membrane in various territories around the world.  Our extensive experience with Cord Lining Stem Cells has taught us much, and we have been able to utilise this knowledge to produce a ground breaking cosmeceutical line called CALECIM® which has been observed to improve the skin appearance after topical application.",,5900000,USD,5900000
Dessmann,https://www.crunchbase.com/organization/dessmann,"Biometrics, Privacy, Public Safety","Singapore, Central Region, Singapore",Dessmann is a digital fingerprint biometric door lock supplier with head office in Stuttgart (Germany).,"99,984",Active,2000-01-01,day,,,,,For Profit,http://dessmann.com.sg/,"Dessmann is a digital fingerprint biometric door lock supplier with head office in Stuttgart (Germany) and production unit in Hangzhou (China) and production unit in Hangzhou (China) .At Dessmann,  They are committed to offering full security products and services to our customers. As a global company with offices and facilities around the world,  they  currently offer  their digital locks in Indonesia, Singapore, China, Europe and Latin America.  They will also offer their digital locks in Vietnam, Malaysia and Thailand in the near future.  Their  full biometric research and development centre allows us to innovate and bring new technologies and functionalities to their customers on a regular basis.",Early Stage Venture,30512103,USD,30512103
Eleos Web,https://www.crunchbase.com/organization/eleos-web,"E-Commerce, Point of Sale, Retail, Retail Technology","Singapore, Central Region, Singapore",Eleos provides mPOS (mobile point-of-sale) solutions to retailers.,"108,394",Active,2002-01-01,year,,,,,For Profit,http://octopus.eleos.com/,"Whether you are in a brick-and-mortar business empire or developing your online retail kingdom, our patented and proprietary Octopus™ Retail Management System enables the seamless connection of point-of-sales systems and other core business operating systems to provide meaningful information for you to improve your business growth and productivity with just the click of a button.",Seed,2200000,USD,2200000
CDNetworks,https://www.crunchbase.com/organization/cdnetworks,"Cloud Computing, Cloud Security, Information Technology, Internet, Security, Video on Demand, Video Streaming, Web Hosting","Singapore, Central Region, Singapore","CDNetworks offers various solutions such as CDN, media delivery, cloud security, zero trust security, etc.","124,842",Active,2000-05-01,day,,,,,For Profit,http://www.cdnetworks.com,"CDNetworks is an APAC-leading network with over 2800 global Points of Presence that has expanded its business to more than 70 countries and regions since its establishment in 2000. We operate in 14 global offices and have 10 R&D centers worldwide, including the United Kingdom, United States, Singapore, China, Japan and Korea. CDNetworks embraces the new era of Edge and takes it to the next level by using the Edge as a service to deliver the fastest and most secure digital experiences to end users. Our diverse products and services include web performance, media delivery, cloud security, zero trust security, and colocation services— all of which are uniquely designed to spur business innovation. To learn more, visit cdnetworks.com",Private Equity,96500000,USD,96500000
ViewBase,https://www.crunchbase.com/organization/viewbase-c45e,"Analytics, Blockchain, Communities, Cryptocurrency, Internet","Singapore, Central Region, Singapore",ViewBase is a blockchain analytics platform for cryptocurrency traders that uses proprietary data models.,"129,913",Active,2001-05-12,day,,,,,For Profit,https://www.viewbase.com,ViewBase is a blockchain analytics platform for cryptocurrency traders that uses proprietary data models.,Seed,,USD,
QunQun,https://www.crunchbase.com/organization/qunqun,"Blockchain, Communities, Cryptocurrency","Singapore, Central Region, Singapore","QunQun users can easily create their own theme community without encoding and deploying, and obtain extra tokens.","146,747",Active,2000-05-01,month,,,,,For Profit,https://qunqun.io,"QunQun is a completely new incentive community platform based on blockchain technology.on QunQun ,users can easily create their own theme community without encoding and deploying,and obtain extra tokens from the reward pool through operating it or submitting contents to the communities.",,1000000,USD,1000000
Ivy Mobility,https://www.crunchbase.com/organization/ivy-mobility-inc,"Apps, Enterprise Software, Mobile, SaaS, Software","Singapore, Central Region, Singapore",Ivy Mobility is a fast growing SaaS business offering industry cloud solutions built for the consumer package goods vertical. ,"148,958",Active,2002-01-01,year,,,,,For Profit,http://www.ivymobility.com,"Ivy Mobility is a fast growing SaaS business offering industry cloud solutions to meet the needs of consumer goods organizations. The apps are modern cloud and mobile software solutions that embed industry specific functionality, business processes, and best practices. We are helping Consumer Goods Companies increase revenue at the shelf and increase efficiency of retail execution, direct store delivery and distribution.  Ivy's products run natively on the Salesforce Platform. ",Early Stage Venture,,USD,
