Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Jamjoom Pharma,https://www.crunchbase.com/organization/jamjoom-pharma,"Biotechnology, Health Care, Medical, Pharmaceutical","Jeddah, Makkah, Saudi Arabia",Jamjoom Pharma is pharmaceutical company,"4,358",,Active,2000-01-01,year,,,,,For Profit,http://www.jamjoompharma.com/,"Jamjoom Pharma is pharmaceutical company.  Jamjoom Pharma has  emerged, as one of the leading pharmaceutical companies in the region. The geographical focus of the company is on countries in the Middle East, Africa and CIS regions. Strategic focus on selected therapeutic categories has contributed to the rapid growth, market acceptance and overall success of the company. Jamjoom Pharma has state-of-the-art manufacturing facilities which encapsulates the latest in manufacturing technology, systems and processes. The facility has aroused the attention and admiration of the professionals from international pharmaceutical industry. The company continuously keeps abreast of the latest developments in Pharma manufacturing technology and practices, and readily adopts and integrates these into the existing manufacturing systems to upgrade the capabilities investment in new manufacturing units are under process in Egypt and in Algeria. Egypt is 100% Jamjoom owned and in Algeria a joint venture unit in heavy setup.",,36200000,SAR,9651789
Advanta Seeds,https://www.crunchbase.com/organization/advanta-seeds,"Agriculture, AgTech, Biotechnology, Farming","Dubai, Dubai, United Arab Emirates",Advanta Seeds specializes in the development of farming solutions and technology in plant breeding.,"16,644",$100M to $500M,Active,1994-01-01,year,2004-05-13,day,,,For Profit,https://advantaseeds.com/,"Advanta Seeds is focused on sustainable agriculture and providing farmers with quality seeds. Access to high-quality seeds, especially to smallholder farmers, is an essential part of the solution to global food security. Our proprietary technologies develop better quality hybrids and increase crop yield resulting in market leadership across various products in different regions. Advanta Seeds was established in 2013 in Dubai, United Arab Emirates.",M&A,300000000,USD,300000000
BIOVOLF,https://www.crunchbase.com/organization/biovolf,"Agriculture, Alternative Protein, Biotechnology, Food and Beverage","Dubai, Dubai, United Arab Emirates","We have developed a bioreactor technology that harnesses CO2 during operation and produces Wolffia, a high-quality, plant-based protein.","67,761",,Active,2021-01-03,day,,,,,For Profit,https://www.biovolf.com/,"Biovolf is a biotech company. We have developed a fully automated sustainable bioreactor technology that produces high-quality plant-based protein from Wolffia and harnesses CO2 during operation. The advantages of our bioreactor solution are: •  Operates 24/7; 365 days a year; •  Suitable for any climate, provides a weekly harvest;  •  Requiring only water and electricity to run. Biovolf’s technology is aimed at the 4 UN’s SDG Agenda Goals.  Already raised $1,1M. HQ – Singapore; 2 branches in the UAE. Next round offer - $5M for 15% equity.  Goal: 3x company valuation growth in 18 months Go-to-market strategy: Own production + TaaS scaling (royalty fees) Unit economics: Production cost $2/kg; market price: $4-35",Seed,1090000,USD,1090000
NoorDx,https://www.crunchbase.com/organization/noordx,"Bioinformatics, Biotechnology, Consumer Research, Health Care, Intelligent Systems, Precision Medicine","Thuwal, Ha'il, Saudi Arabia",NoorDx offers advanced genetic diagnostic testing laboratory with an aim to provide precision medicine capabilities for the Middle East.,"104,722",$1M to $10M,Active,2017-05-05,day,,,,,For Profit,https://www.noordx.sa/,"NoorDx provides genomics, innovation, pathogen genomics, human genomics, targeted gene panels, molecular diagnostics, clinical reporting, genetic counseling, and bioinformatic services.",Early Stage Venture,2500000,USD,2500000
Wayakit,https://www.crunchbase.com/organization/wayakit,Biotechnology,"Thuwal, Ha'il, Saudi Arabia",Wayakit develops biotech-based formulations for hygiene.,"105,406",,Active,2018-01-01,year,,,,,For Profit,https://www.wayakit.com,"Wayakit produces science-based hygiene products and services in order to reduce water and energy waste. They specialize in the production of cleaning and disinfection products through applied biotechnology. Wayakit's technology combines the power of natural cleaning with the science of cleaning to create cleaning bio-formulations that are effective, safe, environmentally friendly, and high-tech.",Seed,250000,USD,250000
Hubner Chemicals,https://www.crunchbase.com/organization/hubner-chemicals,Biotechnology,"Dubai, Dubai, United Arab Emirates",Petrochemical Engineering,"151,062",,Active,2010-01-09,day,,,,,For Profit,http://www.hubner.io,,Private Equity,89000000,USD,89000000
Intravides,https://www.crunchbase.com/organization/intravides,"Biotechnology, Image Recognition","Thuwal, Ha'il, Saudi Arabia",Intravides is a biomedical startup.,"173,123",,Active,2013-11-01,month,,,,,For Profit,https://intravides.com/,"Intravides is a team of research scientists and engineers who are passionate about Neuroscience, biology and informatics. They join forces to come up with solutions to conquer the medical world where their target audience would be medical practitioners of all ages and specialties, spanning from medical students of all levels to professional doctors and surgeons. They are experts in Imaging, data visualization and image processing as well as mixing research with state of the art augmented/virtual reality (AR/VR) hardware and software. Their current solution involves developing an AR system that enables neurosurgeons to practice surgery of tumor extraction with higher accuracy, less invasion as well as less post-surgery complications. They exploit the advancement in digital medical imaging techniques in building their AR based visual system from the ground up by using it as their main source of data and the backbone of their system.",Seed,40000,USD,40000
PepPrint,https://www.crunchbase.com/organization/pepprint,"Biotechnology, Health Care, Manufacturing, Medical","Thuwal, Ha'il, Saudi Arabia","PepPrint provides technologies in 3D/4D bioprinting for applications in tissue engineering, regenerative medicine & diagnostics.","179,105",,Active,2013-12-01,day,,,,,For Profit,,,Seed,426000,USD,426000
Nanosferix,https://www.crunchbase.com/organization/nanosferix,"Advanced Materials, Biotechnology, Information Technology, Manufacturing","Thuwal, Ha'il, Saudi Arabia",Nanosferix develops ultra lightweight nano-fillers for use with advanced composites for lightweight yet strong materials.,"199,770",,Closed,2013-01-01,year,,,,none,For Profit,http://nanosferix.com/,"Nanosferix is a product of Innovative Industrial Materials Factory LLC – a spinoff company from the KAUST Catalysis Center, supported by the Innovation Fund and Technology Office at the King Abdullah University of Science and Technology (KAUST). They make hollow-silica fillers to allow ultralight engineering composite materials for high performance and advanced material applications. Nanosferix Hollow Silica is a unique and novel technology that works with commercial material systems to reduce the silica filler weight loading.",Seed,690000,USD,690000
Carbon CPU,https://www.crunchbase.com/organization/carbon-cpu,Biotechnology,"Thuwal, Ha'il, Saudi Arabia",Carbon CPU is a biotechnology startup specializing in turning food waste into fatty acids for use as livestock nutrients.,"201,409",,Active,2018-01-01,year,,,,,For Profit,http://www.carboncpu.com/,"Carbon-CPU utilizes next-generation biotechnology to transform food waste into useful fatty acids needed as livestock nutrients. Every year, more than 1 billion tons of food waste is generated globally. However, the high organic content in this food waste makes it a very valuable resource. Globally, the demand for fatty acids is far more than what has been supplied, over 500k tons of fatty acids are required for the animal feed industry while only 30k tons are produced. Carbon-CPU aims to fill this gap by producing high-value bioproducts at a much lower cost and environmental burden, compared to the traditional chemical synthesis.",,50000,USD,50000
